Country,ISO,Start Year,AID Contribution ('000 US$),Total Deaths,No. Injured,"Total Damage, Adjusted ('000 US$)"
Canada,CAN,1912,0,28,200,157862
Japan,JPN,1923,0,143000,103733,10692938
Japan,JPN,1927,0,3022,3295,700572
Dominican Republic,DOM,1930,0,2000,6000,729937
Chile,CHL,1939,0,30000,58500,20170419
Chile,CHL,1943,0,12,35,1761553
Türkiye,TUR,1943,0,4020,5000,704621
Argentina,ARG,1944,0,10000,35000,1731527
Japan,JPN,1948,0,5131,11000,12697863
Cuba,CUB,1948,0,11,300,76187
Chile,CHL,1949,0,35,155,499378
Chile,CHL,1949,0,6,18,66584
Jamaica,JAM,1951,0,154,200,656382
Fiji,FJI,1952,0,23,800,22913
United States of America,USA,1952,0,12,200,687403
Philippines,PHL,1952,0,995,349,572836
Greece,GRC,1953,0,476,2412,1137122
Chile,CHL,1953,0,12,40,5685610
Chile,CHL,1953,0,3,15,83124
Algeria,DZA,1954,0,1250,5000,67974
Greece,GRC,1954,0,31,200,35686
Philippines,PHL,1955,0,400,2000,56900
Afghanistan,AFG,1956,0,100,2000,280228
Mexico,MEX,1957,0,160,100,271167
Iran (Islamic Republic of),IRN,1957,0,3000,5000,54233
Chile,CHL,1960,0,6000,3000,5666472
Anguilla,AIA,1960,0,5,250,360594
Iran (Islamic Republic of),IRN,1962,0,12000,3000,302183
Libya,LBY,1963,0,300,375,49747
Yugoslavia,YUG,1963,0,1070,3300,9949447
Japan,JPN,1964,0,25,376,7859046
Philippines,PHL,1964,0,56,163,78590
Panama,PAN,1964,0,1,18,2947
Republic of Korea,KOR,1964,0,210,300,9824
Türkiye,TUR,1964,0,23,100,49119
Philippines,PHL,1964,0,580,1258,343833
Algeria,DZA,1965,0,2,350,19341
Greece,GRC,1965,0,38,253,77364
Chile,CHL,1965,0,400,350,1208814
United States of America,USA,1965,0,271,1000,1837397
El Salvador,SLV,1965,0,125,1138,338468
Yugoslavia,YUG,1965,0,3,15000,3355668
Bangladesh,BGD,1965,0,36000,600000,557989
Republic of Korea,KOR,1965,0,323,245,352974
Philippines,PHL,1965,0,355,785,96705
Brazil,BRA,1966,0,373,1700,478761
Republic of Korea,KOR,1966,0,22,52,723
Greece,GRC,1966,0,1,50,37550
Peru,PER,1966,0,8,100,46937
Jordan,JOR,1966,0,259,92,13142
Indonesia,IDN,1966,0,176,100,309787
Uganda,UGA,1966,0,104,510,14081
Democratic Republic of the Congo,COD,1966,0,24,600,1877
Brazil,BRA,1966,0,147,57,93067
Taiwan (Province of China),TWN,1966,0,36,21,162610
"China, Hong Kong Special Administrative Region",HKG,1966,0,65,68,75100
Nepal,NPL,1966,0,80,100,9387
Republic of Korea,KOR,1966,0,95,85,17836
Türkiye,TUR,1966,0,2394,1500,187749
Japan,JPN,1966,0,314,41,74161
Thailand,THA,1966,0,6,200,9387
Greece,GRC,1966,0,1,123,131425
Dominican Republic,DOM,1966,0,74,442,46937
Haiti,HTI,1966,0,480,881,187749
Cuba,CUB,1966,0,5,30,168974
Bahamas,BHS,1966,0,5,3,145506
Algeria,DZA,1966,0,57,12,93875
Mexico,MEX,1966,0,14,69,225299
Peru,PER,1966,0,120,1500,140812
Colombia,COL,1966,0,1,11,75100
Chile,CHL,1966,0,4,6,3755
Peru,PER,1967,0,25,300,137013
Brazil,BRA,1967,0,785,1257,71247
Australia,AUS,1967,0,62,100,625693
Colombia,COL,1967,0,61,200,5481
Viet Nam,VNM,1967,0,3,11,4567
Greece,GRC,1967,0,9,56,45671
Myanmar,MMR,1967,0,100,200,45671
Belgium,BEL,1967,0,323,150,182684
Türkiye,TUR,1967,0,183,360,27403
Venezuela (Bolivarian Republic of),VEN,1967,0,240,1536,1278788
Portugal,PRT,1967,0,462,100,27403
Yugoslavia,YUG,1967,0,7,70,182684
Albania,ALB,1967,0,11,134,182684
India,IND,1967,0,177,2272,3654
Brazil,BRA,1967,0,35,50,13701
Italy,ITA,1968,0,224,563,2189998
Guatemala,GTM,1968,0,2,10,175
Bolivia (Plurinational State of),BOL,1968,0,24,200,26280
Greece,GRC,1968,0,19,18,5256
Bangladesh,BGD,1968,0,118,1045,13140
Iran (Islamic Republic of),IRN,1968,0,38,100,8760
Japan,JPN,1968,0,47,281,1147559
Peru,PER,1968,0,11,120,876
Bangladesh,BGD,1968,0,221,100000,1746742
Philippines,PHL,1968,0,271,261,43800
Iran (Islamic Republic of),IRN,1968,0,10000,4050,306600
Yugoslavia,YUG,1968,0,1,30,338136
New Zealand,NZL,1968,0,3,14,23380
Madagascar,MDG,1969,0,81,40,41531
Brazil,BRA,1969,0,316,3221,47927
Ethiopia,ETH,1969,0,24,165,2658
Bangladesh,BGD,1969,0,849,15530,69183
El Salvador,SLV,1969,0,2,40,13290
Republic of Korea,KOR,1969,0,408,409,186060
Taiwan (Province of China),TWN,1969,0,194,408,730952
Algeria,DZA,1969,0,76,237,83063
Peru,PER,1969,0,150,216,41531
Costa Rica,CRI,1969,0,7,23,33225
Yugoslavia,YUG,1969,0,15,1116,415314
Cyprus,CYP,1969,0,3,100,831
Morocco,MAR,1970,0,11,3,235442
Peru,PER,1970,0,3,50,40810
Türkiye,TUR,1970,0,1086,2776,436353
Panama,PAN,1970,0,48,500,117721
Costa Rica,CRI,1970,0,23,40,47088
Peru,PER,1970,0,66794,143331,4159483
India,IND,1970,0,627,1000,794226
Barbados,BRB,1970,0,3,10,3924
Philippines,PHL,1970,0,1551,985,671011
Papua New Guinea,PNG,1970,0,15,20,13734
Philippines,PHL,1970,0,786,2075,766412
Ecuador,ECU,1970,0,29,120,31392
Peru,PER,1970,0,29,252,15696
Philippines,PHL,1970,0,575,1593,95040
Philippines,PHL,1970,0,631,76,371975
Philippines,PHL,1970,0,80,248,100338
Italy,ITA,1971,0,22,100,313042
United States of America,USA,1971,0,65,2000,4161350
Brazil,BRA,1971,0,109,2000,39130
Türkiye,TUR,1971,0,878,1200,37625
Philippines,PHL,1971,0,57,3,4440
Chile,CHL,1971,0,85,451,1778921
Nicaragua,NIC,1971,0,35,50,2860
Philippines,PHL,1972,0,204,28,167592
Madagascar,MDG,1972,0,91,56,90500
Iran (Islamic Republic of),IRN,1972,0,5057,1332,7287
Republic of Korea,KOR,1972,0,672,785,530465
Republic of Korea,KOR,1972,0,75,54,4620
Philippines,PHL,1972,0,100,650,72866
Nicaragua,NIC,1972,0,10000,20000,6157184
Philippines,PHL,1973,0,14,64,3088
Costa Rica,CRI,1973,0,21,98,1373
Jamaica,JAM,1973,0,6,10,11667
Cambodia,KHM,1974,0,130,164,3708
Philippines,PHL,1974,0,21,16,12359
Peru,PER,1974,0,78,2414,61795
Philippines,PHL,1974,0,26,40,56852
Philippines,PHL,1974,0,13,9,71682
Philippines,PHL,1974,0,23,50,129770
Philippines,PHL,1974,0,3,2,19774
Australia,AUS,1974,0,65,640,4943614
Pakistan,PAK,1974,0,4700,15000,20114
Thailand,THA,1975,0,239,93,254783
Mauritius,MUS,1975,0,9,59,1132369
Brazil,BRA,1975,0,70,600,3397107
Japan,JPN,1975,0,68,52,2859232
Türkiye,TUR,1975,0,2385,3372,96251
Philippines,PHL,1975,0,39,8,12235
Philippines,PHL,1975,0,1,2,4529
Madagascar,MDG,1976,0,16,26,91022
Guatemala,GTM,1976,0,23000,77000,5354255
Italy,ITA,1976,0,922,1750,19275319
Indonesia,IDN,1976,0,573,4755,1044080
China,CHN,1976,0,242000,164000,29983829
Philippines,PHL,1976,0,6000,6348,717470
Japan,JPN,1976,0,169,107,4283404
Mexico,MEX,1976,0,600,1400,535426
Türkiye,TUR,1976,0,3840,15000,133856
Philippines,PHL,1976,0,110,17,49934
Philippines,PHL,1976,0,2,3,14419
Romania,ROU,1977,0,1641,11300,10054780
Philippines,PHL,1977,0,1,30,503
Bangladesh,BGD,1977,0,600,10000,251370
Tonga,TON,1977,0,1,5,6033
Republic of Korea,KOR,1977,0,297,1000,100548
Taiwan (Province of China),TWN,1977,0,61,528,1256848
Indonesia,IDN,1977,0,185,75,6033
Philippines,PHL,1977,0,40,115,18099
Argentina,ARG,1977,0,70,100,402191
Sweden,SWE,1977,0,13,50,55301
Republic of Korea,KOR,1977,0,56,1343,62842
Zambia,ZMB,1978,0,11,900,934
Japan,JPN,1978,0,28,500,4040373
Greece,GRC,1978,0,50,100,1167738
Italy,ITA,1978,0,1,19,4671
Afghanistan,AFG,1978,0,120,140,242889
Nepal,NPL,1978,0,130,48,2396
Thailand,THA,1978,0,96,400,1868380
Philippines,PHL,1978,0,340,749,537159
Sri Lanka,LKA,1978,0,740,5000,467095
Philippines,PHL,1978,0,66,47,155328
Philippines,PHL,1978,0,49,12,16418
Philippines,PHL,1978,0,47,4,55159
Philippines,PHL,1978,0,32,20,65342
Philippines,PHL,1978,0,24,2,55552
Portugal,PRT,1979,0,19,220,125953
Indonesia,IDN,1979,0,128,350,13435
Mexico,MEX,1979,0,5,35,125953
United States of America,USA,1979,0,48,110,2309141
Yugoslavia,YUG,1979,0,121,100,1889297
Philippines,PHL,1979,0,18,49,41984
Indonesia,IDN,1979,0,34,48,17424
Dominica,DMA,1979,0,40,2100,187460
Dominican Republic,DOM,1979,0,1400,4000,629766
"China, Hong Kong Special Administrative Region",HKG,1979,0,12,260,41984
Indonesia,IDN,1979,0,26,200,67175
Colombia,COL,1979,0,60,600,83969
Colombia,COL,1979,0,579,1042,33588
Mauritius,MUS,1979,0,5,257,734727
Philippines,PHL,1979,0,24,5,25610
Philippines,PHL,1979,0,6,1,2590
Philippines,PHL,1979,0,15,8,2830
United States of America,USA,1979,0,7,50,54580
Azores Islands,AZO,1980,0,69,600,18487
Fiji,FJI,1980,0,18,250,8341
Nepal,NPL,1980,0,100,5600,905878
India,IND,1980,0,1600,23,1183188
Jamaica,JAM,1980,0,6,9,236638
Republic of Korea,KOR,1980,0,15,17,26696
Japan,JPN,1980,0,2,73,3697
Algeria,DZA,1980,0,2633,8369,19226801
Mexico,MEX,1980,0,65,300,18487
Italy,ITA,1980,0,4689,7700,73949235
Iran (Islamic Republic of),IRN,1980,0,4,100,3697
Greece,GRC,1980,0,1,17,18487
United States of America,USA,1980,0,7,70,110924
United States of America,USA,1980,0,5,100,73949
China,CHN,1980,0,6200,27000,591594
Greece,GRC,1981,0,22,400,3016019
Iran (Islamic Republic of),IRN,1981,0,2000,3000,16756
Philippines,PHL,1981,0,214,32,6702
China,CHN,1981,0,1311,28140,3686245
Iran (Islamic Republic of),IRN,1981,0,1200,1000,3351132
China,CHN,1981,0,764,5000,4021359
Pakistan,PAK,1981,0,250,2000,16756
Philippines,PHL,1981,0,261,95,117290
Philippines,PHL,1981,0,210,36,25499
Philippines,PHL,1981,0,4,6,560
Tonga,TON,1982,0,6,12,66940
Japan,JPN,1982,0,110,100,3158
Philippines,PHL,1982,0,151,31,217870
Mexico,MEX,1982,0,100,500,369431
Tonga,TON,1982,0,1,2,3473
Japan,JPN,1982,0,345,347,101041
Japan,JPN,1982,0,80,150,432582
Republic of Korea,KOR,1982,0,63,42,94726
Philippines,PHL,1982,0,70,67,20524
Japan,JPN,1982,0,26,102,179979
El Salvador,SLV,1982,0,500,18000,884109
Guatemala,GTM,1982,0,620,256,315753
Cabo Verde,CPV,1982,0,3,122,9473
Philippines,PHL,1982,0,96,183,101041
Spain,ESP,1982,0,43,1600,1989244
Afghanistan,AFG,1982,0,500,3000,3158
Indonesia,IDN,1982,0,13,417,4578
Yemen Arab Republic,YMN,1982,0,1507,1500,6315061
Albania,ALB,1982,0,1,5,15788
Philippines,PHL,1982,0,25,8,7578
Philippines,PHL,1982,0,10,5,14209
Philippines,PHL,1982,0,29,40,13262
Philippines,PHL,1982,0,3,7,5526
India,IND,1982,0,244,493,378904
Brazil,BRA,1983,0,68,300,36711
Comoros,COM,1983,0,33,52,70363
Cuba,CUB,1983,0,15,39,183555
Fiji,FJI,1983,0,9,14,152963
Iran (Islamic Republic of),IRN,1983,0,30,61,15296
Colombia,COL,1983,0,250,1200,1257048
French Polynesia,PYF,1983,0,1,50,64244
Japan,JPN,1983,0,102,77,1272650
Costa Rica,CRI,1983,0,2,60,15296
Philippines,PHL,1983,0,115,27,5017
Philippines,PHL,1983,0,19,176,6813
Nepal,NPL,1983,0,186,50,30593
"China, Hong Kong Special Administrative Region",HKG,1983,0,22,338,38375
Chile,CHL,1983,0,4,24,3059
Türkiye,TUR,1983,0,1346,1137,76481
China,CHN,1983,0,34,2200,15296
Belgium,BEL,1983,0,2,30,152963
Indonesia,IDN,1983,0,7,17,21436
Guinea,GIN,1983,0,443,1436,24474
Afghanistan,AFG,1983,0,12,483,9178
Philippines,PHL,1983,0,8,1,6883
France,FRA,1983,0,18,12,1847790
Iran (Islamic Republic of),IRN,1983,0,3,41,15296
United States of America,USA,1983,0,2,2,45889
Indonesia,IDN,1984,0,2,89,1467
United States of America,USA,1984,0,80,600,2137067
Madagascar,MDG,1984,0,68,215,733279
Italy,ITA,1984,0,3,200,73328
Germany Federal Republic,DFR,1984,0,3,250,2786459
Philippines,PHL,1984,0,138,103,67462
Republic of Korea,KOR,1984,0,166,187,483964
Spain,ESP,1984,0,3,30,2933
Philippines,PHL,1984,0,1079,197,283339
Mexico,MEX,1984,0,452,4248,1587695
Thailand,THA,1984,0,17,31,8799
Philippines,PHL,1984,0,1399,2565,635606
Spain,ESP,1984,0,6,30,2933114
Afghanistan,AFG,1984,0,1,35,14666
United States of America,USA,1984,0,9,57,49863
Australia,AUS,1985,0,5,100,42490
Chile,CHL,1985,0,180,2483,4249017
United States of America,USA,1985,0,104,500,656048
Pakistan,PAK,1985,0,5,38,5665
Italy,ITA,1985,0,329,30,42490
Mexico,MEX,1985,0,9500,30204,11625311
Republic of Korea,KOR,1985,0,57,20,39657
Philippines,PHL,1985,0,81,24,176683
Colombia,COL,1985,0,21800,5000,2832678
Philippines,PHL,1985,0,5,7,1870
Canada,CAN,1985,0,12,200,331423
"China, Hong Kong Special Administrative Region",HKG,1985,0,2,12,119
Japan,JPN,1985,0,30,200,281851
Australia,AUS,1986,0,3,12,194594
Myanmar,MMR,1986,0,1,40,22239
Madagascar,MDG,1986,0,99,424,416987
China,CHN,1986,0,9,900,138996
Peru,PER,1986,0,15,80,61158
Thailand,THA,1986,0,42,21,5560
Venezuela (Bolivarian Republic of),VEN,1986,0,2,50,2780
Philippines,PHL,1986,0,109,16,85371
China,CHN,1986,0,172,1250,1056367
China,CHN,1986,0,43,381,150115
Japan,JPN,1986,0,17,64,6115809
Philippines,PHL,1986,0,23,4,36556
Republic of Korea,KOR,1986,0,33,73,30301
Soviet Union,SUN,1986,0,1,558,2029337
Greece,GRC,1986,0,20,300,2071035
Philippines,PHL,1986,0,22,26,3336
El Salvador,SLV,1986,0,1100,20000,4169870
Philippines,PHL,1986,0,16,108,11120
Philippines,PHL,1986,0,3,3,156
China,CHN,1986,0,8,25,2613119
United States of America,USA,1986,0,1,80,83397
India,IND,1986,0,6,30,13900
New Zealand,NZL,1987,0,1,25,563145
Indonesia,IDN,1987,0,131,50,2682
China,CHN,1987,0,191,221,294981
Italy,ITA,1987,0,44,189,1676027
Canada,CAN,1987,0,26,250,710635
Chile,CHL,1987,0,5,112,2682
Philippines,PHL,1987,0,85,425,264410
Venezuela (Bolivarian Republic of),VEN,1987,0,96,300,2145
Philippines,PHL,1987,0,100,79,67041
Philippines,PHL,1987,0,882,927,150172
Indonesia,IDN,1987,0,125,100,13408
Philippines,PHL,1987,0,22,35,22794
Algeria,DZA,1987,0,1,7,2682
Micronesia (Federated States of),FSM,1987,0,5,3,16090
Brazil,BRA,1988,0,289,734,2576577
China,CHN,1988,0,577,200,2740355
Pakistan,PAK,1988,0,78,1000,10770
Trinidad and Tobago,TTO,1988,0,6,20,5153
Germany Federal Republic,DFR,1988,0,51,8,36072
India,IND,1988,0,382,3766,184225
Nepal,NPL,1988,0,709,1016,154595
Portugal,PRT,1988,0,2,45,644144
China,CHN,1988,0,58,505,659604
Costa Rica,CRI,1988,0,28,7500,154595
Philippines,PHL,1988,0,416,208,619667
Nicaragua,NIC,1988,0,130,278,1030631
China,CHN,1988,0,939,3364,693099
Philippines,PHL,1988,0,289,29,384065
Thailand,THA,1988,0,664,1878,435818
Soviet Union,SUN,1988,0,25000,12000,36072080
Philippines,PHL,1988,0,41,1,2422
Djibouti,DJI,1989,0,10,300,2704
Bangladesh,BGD,1989,0,800,2000,39819
Sri Lanka,LKA,1989,0,325,1000,86028
Indonesia,IDN,1989,0,6,6,838
Soviet Union,SUN,1989,0,274,51,60957
Réunion,REU,1989,0,10,61,122897
Mauritius,MUS,1989,0,1,507,147476
China,CHN,1989,0,8,107,403101
China,CHN,1989,0,157,7500,983173
China,CHN,1989,0,2000,10000,6855174
Philippines,PHL,1989,0,44,11,14748
Guadeloupe,GLP,1989,0,5,84,122897
Montserrat,MSR,1989,0,11,40,589904
China,CHN,1989,0,550,2696,1192097
Philippines,PHL,1989,0,97,382,149934
Philippines,PHL,1989,0,58,105,145510
Philippines,PHL,1989,0,30,279,87011
Philippines,PHL,1989,0,147,191,19663
Philippines,PHL,1989,0,22,21,10569
Philippines,PHL,1989,0,11,1,799
United States of America,USA,1989,0,62,3757,13764422
Australia,AUS,1989,0,12,115,2457933
China,CHN,1989,0,1,91,132728
Malawi,MWI,1989,0,9,100,68822
Viet Nam,VNM,1989,0,751,106,51617
Philippines,PHL,1989,0,13,3,7030
Philippines,PHL,1989,0,1,1,467
Colombia,COL,1989,0,67,1000,56532
Republic of Korea,KOR,1989,0,109,49,433825
"China, Hong Kong Special Administrative Region",HKG,1989,0,2,31,165
United States of America,USA,1989,0,23,100,934014
Republic of Korea,KOR,1989,0,16,17,58007
Tonga,TON,1990,0,1,3,5830
Philippines,PHL,1990,0,1,4,2099
China,CHN,1990,0,363,5805,1380573
Peru,PER,1990,0,200,800,2332
Iran (Islamic Republic of),IRN,1990,0,40000,105000,18656398
China,CHN,1990,0,56,148,37313
China,CHN,1990,0,16,288,65297
Philippines,PHL,1990,0,2412,3513,861926
Viet Nam,VNM,1990,0,82,200,1691
Republic of Korea,KOR,1990,0,127,27,88618
China,CHN,1990,0,126,2049,136075
Iran (Islamic Republic of),IRN,1990,0,21,90,541735
Philippines,PHL,1990,0,503,1274,906001
Costa Rica,CRI,1990,0,1,299,45475
Pakistan,PAK,1990,0,11,40,2332
Italy,ITA,1990,0,19,200,1166025
Japan,JPN,1990,0,27,81,3964485
Indonesia,IDN,1990,0,1,32,4897
Mexico,MEX,1990,0,45,100,102610
Pakistan,PAK,1991,0,300,574,22373
China,CHN,1991,0,69,1902,62644
Mexico,MEX,1991,0,2,122,335595
Costa Rica,CRI,1991,0,47,199,223730
Soviet Union,SUN,1991,0,270,1500,3803411
Bangladesh,BGD,1991,0,138866,138849,3982395
China,CHN,1991,0,1729,32227,16779754
Philippines,PHL,1991,0,640,195,472070
Indonesia,IDN,1991,0,28,191,40271
China,CHN,1991,0,100,5239,1041083
Republic of Korea,KOR,1991,0,54,36,234917
United States of America,USA,1991,0,2,100,74950
Viet Nam,VNM,1991,0,17,16,21254
"China, Hong Kong Special Administrative Region",HKG,1991,0,22,182,22373
China,CHN,1991,0,14,24,246103
Japan,JPN,1991,0,43,20,22373
Chile,CHL,1991,0,141,140,13424
Viet Nam,VNM,1991,0,38,14,7159
India,IND,1991,0,1500,1383,134238
Philippines,PHL,1991,0,65,38,201357
Philippines,PHL,1991,0,5956,3050,223730
Peru,PER,1991,0,12,30,4475
Indonesia,IDN,1991,0,57,8,29532
Viet Nam,VNM,1991,0,251,200,2237
Philippines,PHL,1991,0,47,21,190171
China,CHN,1991,0,33,111,263017
Japan,JPN,1991,0,66,777,22373005
Iran (Islamic Republic of),IRN,1991,0,28,14,903869
United States of America,USA,1991,0,25,41,32441
Nepal,NPL,1991,0,41,44,582
Thailand,THA,1991,0,38,20,18621
Lebanon,LBN,1992,1160,25,75,336587
Algeria,DZA,1992,0,21,8,1954
Türkiye,TUR,1992,11213,653,3850,1628647
Bolivia (Plurinational State of),BOL,1992,610,4,50,217153
China,CHN,1992,0,248,70,369160
Senegal,SEN,1992,0,100,400,40608
Philippines,PHL,1992,7520,60,13,161127
Viet Nam,VNM,1992,11162,14,11,869
United States of America,USA,1992,0,44,55,57545516
Panama,PAN,1992,0,12,50,21715
Nicaragua,NIC,1992,10056,179,489,54288
Kyrgyzstan,KGZ,1992,721,54,100,282299
Germany,DEU,1992,0,1,25,108576
Mexico,MEX,1992,0,200,1600,141149
China,CHN,1992,0,35,362,149184
Viet Nam,VNM,1992,0,17,12,39088
Viet Nam,VNM,1992,0,55,10,103582
Egypt,EGY,1992,193704,552,9929,2605835
Bolivia (Plurinational State of),BOL,1992,158,49,100,868612
Indonesia,IDN,1992,5209,2500,2103,217153
"China, Hong Kong Special Administrative Region",HKG,1992,0,5,6,108576
China,CHN,1992,0,88,300,8035
United States of America,USA,1992,0,1,300,217153
China,CHN,1992,0,96,1632,317043
China,CHN,1992,0,448,88,149184
Haiti,HTI,1992,0,13,154,4343
China,CHN,1992,0,25,33,238868
Guam,GUM,1992,0,1,542,651459
Japan,JPN,1992,0,9,8,348530
Lao People's Democratic Republic,LAO,1992,0,22,102,7926
Lao People's Democratic Republic,LAO,1992,0,10,150,47400
Singapore,SGP,1992,0,3,120,13327
Fiji,FJI,1993,4350,21,3,210927
Iran (Islamic Republic of),IRN,1993,3167,407,3,2109271
United Republic of Tanzania,TZA,1993,219,54,30,7404
Philippines,PHL,1993,587,79,9,1029
Chile,CHL,1993,232,109,58,71715
Cuba,CUB,1993,4918,5,95,2109271
Ecuador,ECU,1993,1460,200,20,1054635
Eritrea,ERI,1993,2533,3,16,10894
Papua New Guinea,PNG,1993,1,15,40,3164
Vanuatu,VUT,1993,2949,4,5,12656
Russian Federation,RUS,1993,0,125,453,71715
Japan,JPN,1993,0,239,233,2109271
Nepal,NPL,1993,0,1048,268,421854
Venezuela (Bolivarian Republic of),VEN,1993,384,100,400,9492
France,FRA,1993,0,2,18,105464
China,CHN,1993,1283,370,336,54841
India,IND,1993,16452,9748,30000,590596
Papua New Guinea,PNG,1993,335,53,200,10546
Philippines,PHL,1993,1744,124,35,396543
Japan,JPN,1993,0,48,208,2742052
Philippines,PHL,1993,615,311,524,105464
Viet Nam,VNM,1993,0,130,16,31639
Japan,JPN,1993,0,2,722,755119
United States of America,USA,1993,0,7,90,263659
China,CHN,1993,0,31,379,185616
Republic of Korea,KOR,1993,0,32,19,61998
"China, Hong Kong Special Administrative Region",HKG,1993,0,1,5,1666
China,CHN,1993,0,41,400,56950
"China, Hong Kong Special Administrative Region",HKG,1993,0,4,183,253
Japan,JPN,1993,0,56,35,442947
Republic of Korea,KOR,1993,0,11,13,229278
China,CHN,1993,0,28,213,915255
France,FRA,1993,0,10,2,1054635
Australia,AUS,1993,0,1,30,9703
Thailand,THA,1993,0,23,252,2659790
Philippines,PHL,1993,142,52,7,35858
Viet Nam,VNM,1993,0,73,20,105464
China,CHN,1993,0,93,153,86480
China,CHN,1993,0,6,585,29530
United States of America,USA,1993,0,3,130,2109271
China,CHN,1993,0,10,428,26598
"China, Hong Kong Special Administrative Region",HKG,1993,0,1,48,12656
"China, Hong Kong Special Administrative Region",HKG,1993,0,2,30,1687
Lao People's Democratic Republic,LAO,1993,0,8,120,637318
Thailand,THA,1993,0,4,2,674650
Australia,AUS,1994,0,4,120,308351
United States of America,USA,1994,0,60,7000,61670103
Indonesia,IDN,1994,1458,207,1449,350442
Madagascar,MDG,1994,10586,200,43,20557
Philippines,PHL,1994,819,62,26,4934
Peru,PER,1994,479,52,100,102784
Madagascar,MDG,1994,0,12,8,411
Bangladesh,BGD,1994,425,130,3559,256959
Colombia,COL,1994,4856,271,158,4934
China,CHN,1994,0,101,579,411134
Indonesia,IDN,1994,266,239,440,4522
China,CHN,1994,58404,1001,14400,11223959
China,CHN,1994,0,258,7665,3720763
China,CHN,1994,0,90,684,1438969
India,IND,1994,211,2001,50,359742
Philippines,PHL,1994,0,11,7,77293
Philippines,PHL,1994,0,17,21,2056
Pakistan,PAK,1994,964,316,16,189122
Bangladesh,BGD,1994,0,40,150,5139
United States of America,USA,1994,0,3,60,205567
Australia,AUS,1994,0,2,20,159520
China,CHN,1994,0,74,684,1439
United States of America,USA,1994,0,32,22,513918
"China, Hong Kong Special Administrative Region",HKG,1994,0,1,17,76060
Republic of Korea,KOR,1994,0,28,2,23
Papua New Guinea,PNG,1994,0,11,60,24668
Taiwan (Province of China),TWN,1994,0,16,41,476915
Viet Nam,VNM,1994,0,21,34,4728
Ethiopia,ETH,1994,0,4,14,7195
China,CHN,1994,0,1174,1800,2364021
Philippines,PHL,1994,498,23,1,49336
Papua New Guinea,PNG,1994,1732,5,2,226124
Taiwan (Province of China),TWN,1994,0,6,50,49336
Japan,JPN,1994,0,2,285,350286
United States of America,USA,1994,0,37,70,1438969
Philippines,PHL,1994,0,81,171,7606
Philippines,PHL,1994,0,32,15,138552
Republic of Korea,KOR,1994,0,12,50,53447
Philippines,PHL,1994,0,49,86,55119
Taiwan (Province of China),TWN,1994,0,10,40,205567
Thailand,THA,1994,0,11,3,61670
China,CHN,1994,0,41,320,24874
Japan,JPN,1995,13557,5297,34492,199957382
Iceland,ISL,1995,0,14,12,4857
Cyprus,CYP,1995,0,2,5,8678
China,CHN,1995,0,54,453,72185
United States of America,USA,1995,0,18,100,3999148
United States of America,USA,1995,0,5,60,5998721
Greece,GRC,1995,122,26,60,899808
Russian Federation,RUS,1995,4994,1989,750,128173
China,CHN,1995,879,1437,70249,13437136
Türkiye,TUR,1995,0,74,46,51989
China,CHN,1995,0,11,136,72185
Chile,CHL,1995,0,3,58,3319
Republic of Korea,KOR,1995,0,45,160,849819
Antigua and Barbuda,ATG,1995,0,2,165,699851
Mexico,MEX,1995,0,6,25,42191
Philippines,PHL,1995,289,416,7,1400302
Dominica,DMA,1995,0,2,1,39991
Türkiye,TUR,1995,1981,94,240,411512
Philippines,PHL,1995,51,184,14,76184
Iceland,ISL,1995,0,20,8,6719
China,CHN,1995,0,46,297,159966
Philippines,PHL,1995,3720,882,2369,487896
Philippines,PHL,1995,0,146,55,59987
Türkiye,TUR,1995,0,63,117,99979
Viet Nam,VNM,1995,838,16,51,42391
China,CHN,1995,0,152,320,240349
Austria,AUT,1995,0,4,100,239949
Russian Federation,RUS,1995,0,83,10,87981
Greece,GRC,1995,0,26,100,845220
Australia,AUS,1995,0,7,15,195958
Australia,AUS,1995,0,1,15,167964
China,CHN,1995,0,32,12,200
Iran (Islamic Republic of),IRN,1995,0,10,11,179962
Indonesia,IDN,1995,0,18,472,99979
Iran (Islamic Republic of),IRN,1996,0,9,85,25837
China,CHN,1996,10381,309,16925,982971
