Country,ISO,Start Year,AID Contribution ('000 US$),Total Deaths,No. Injured,"Total Damage, Adjusted ('000 US$)"
Philippines,PHL,2009,105548,501,529,337300
Viet Nam,VNM,2009,0,182,860,1114916
Tonga,TON,2009,0,9,7,13493
Samoa,WSM,2009,0,148,310,176171
Indonesia,IDN,2009,77768,1195,1798,3124607
Philippines,PHL,2009,646,512,207,831400
Japan,JPN,2009,0,4,119,1420276
Italy,ITA,2009,0,35,140,28406
Nepal,NPL,2009,0,87,62,85217
Burkina Faso,BFA,2009,15101,9,1000,213041
Philippines,PHL,2009,0,39,20,21580
Viet Nam,VNM,2009,1760,124,145,397677
Indonesia,IDN,2009,0,2,100,3451
India,IND,2009,0,70,8,90898
China,CHN,2009,0,41,96,1462884
India,IND,2009,0,11,135,284055
Philippines,PHL,2009,0,4,13,17
United States of America,USA,2009,0,1,2,2840552
Philippines,PHL,2009,0,14,10,4102
China,CHN,2009,0,20,38,46869
Mongolia,MNG,2009,0,5,7,88057
United States of America,USA,2009,0,6,25,2130414
Haiti,HTI,2010,3518530,222570,300000,11178868
Philippines,PHL,2010,0,2,2,109
China,CHN,2010,0,30,1100,125762
French Polynesia,PYF,2010,0,1,11,15371
China,CHN,2010,0,1,15,6148
Portugal,PRT,2010,50,43,18,1886434
France,FRA,2010,0,53,79,5910827
Chile,CHL,2010,68705,562,10334,41920756
Kazakhstan,KAZ,2010,0,44,700,48315
Brazil,BRA,2010,151,256,403,279472
Mexico,MEX,2010,0,2,232,1606962
United States of America,USA,2010,0,11,17,27947170
Colombia,COL,2010,0,418,463,1397359
China,CHN,2010,8380,2968,12000,698679
Tajikistan,TJK,2010,514,73,300,285061
China,CHN,2010,0,29,190,86987
United States of America,USA,2010,0,5,58,3772868
Guatemala,GTM,2010,0,174,154,908283
Honduras,HND,2010,0,18,4,125762
El Salvador,SLV,2010,0,10,3,27947
Ukraine,UKR,2010,0,6,59,2655
Philippines,PHL,2010,0,146,91,12122
Pakistan,PAK,2010,2653281,1985,2946,13274906
Russian Federation,RUS,2010,700,53,996,2515245
China,CHN,2010,0,1765,200,1060595
Viet Nam,VNM,2010,0,14,20,61484
Guatemala,GTM,2010,0,53,56,698679
United States of America,USA,2010,0,8,60,349340
Taiwan (Province of China),TWN,2010,0,2,100,88173
Philippines,PHL,2010,0,6,9,4410
Jamaica,JAM,2010,68,15,26,209604
Nigeria,NGA,2010,0,40,200,41921
Indonesia,IDN,2010,0,291,3417,108994
Viet Nam,VNM,2010,0,84,75,199124
Hungary,HUN,2010,0,9,150,143928
Philippines,PHL,2010,6456,35,42,385315
Myanmar,MMR,2010,0,45,49,79649
Viet Nam,VNM,2010,0,31,8,150496
Serbia,SRB,2010,549,2,120,184815
Morocco,MAR,2010,0,32,3,40523
Israel,ISR,2010,574,44,22,377287
Philippines,PHL,2010,251,110,13,66250
Italy,ITA,2010,0,3,5,1218497
China,CHN,2011,0,2,472,380641
Philippines,PHL,2011,0,23,164,16812
Sri Lanka,LKA,2011,36056,47,51,270919
Philippines,PHL,2011,0,1,6,317
New Zealand,NZL,2011,9823,181,1500,20318939
China,CHN,2011,0,25,250,392833
Japan,JPN,2011,735797,19846,5933,284465151
Philippines,PHL,2011,0,16,1,379
Myanmar,MMR,2011,1008,74,125,4877
South Africa,ZAF,2011,3093,40,321,285820
Colombia,COL,2011,1590,138,158,1395234
United States of America,USA,2011,0,46,43,2709192
China,CHN,2011,0,18,150,20319
United States of America,USA,2011,0,2,5,247891
United States of America,USA,2011,0,354,2200,14900556
Philippines,PHL,2011,0,37,11,42343
Spain,ESP,2011,0,10,300,270919
Türkiye,TUR,2011,0,3,121,330521
United States of America,USA,2011,0,176,1150,18964343
Philippines,PHL,2011,0,12,3,14448
Nigeria,NGA,2011,0,24,150,6096
Philippines,PHL,2011,0,20,4,17432
India,IND,2011,0,68,100,2709
Philippines,PHL,2011,1871,84,53,85689
Philippines,PHL,2011,0,11,5,80
Russian Federation,RUS,2011,0,1,14,4064
Belgium,BEL,2011,0,5,71,134105
Philippines,PHL,2011,0,43,37,46669
Pakistan,PAK,2011,263540,509,755,3386490
Japan,JPN,2011,0,13,308,2465365
Cambodia,KHM,2011,20499,247,23,705744
Philippines,PHL,2011,0,25,12,3596
Philippines,PHL,2011,1767,103,91,466215
Colombia,COL,2011,0,135,104,1747429
Guatemala,GTM,2011,0,43,18,83867
New Zealand,NZL,2011,0,1,45,4063788
Türkiye,TUR,2011,32934,604,4152,2031894
Algeria,DZA,2011,0,10,43,1055230
Philippines,PHL,2011,0,5,13,248
Philippines,PHL,2011,0,1439,6071,51586
Japan,JPN,2011,0,5,55,67730
South Africa,ZAF,2011,0,5,50,13546
United States of America,USA,2012,0,2,100,232248
Japan,JPN,2012,0,134,1991,209687
Philippines,PHL,2012,220,113,112,11811
Madagascar,MDG,2012,4262,35,284,132713
United States of America,USA,2012,0,14,200,663567
United States of America,USA,2012,0,41,400,6635666
Argentina,ARG,2012,0,18,20,13271
Comoros,COM,2012,6120,4,150,6636
Mexico,MEX,2012,0,2,11,424683
Chile,CHL,2012,0,1,14,132713
Italy,ITA,2012,0,7,50,20968705
Nepal,NPL,2012,0,1,4,1327
United States of America,USA,2012,0,6,30,2388840
Georgia,GEO,2012,0,5,18,3981
United States of America,USA,2012,0,9,1,278698
Nepal,NPL,2012,0,72,5,1327
China,CHN,2012,0,4,394,398140
Poland,POL,2012,0,1,10,7830
Russian Federation,RUS,2012,0,172,3910,796280
Democratic People's Republic of Korea,PRK,2012,3380,88,144,15129
Philippines,PHL,2012,0,58,35,13034
Philippines,PHL,2012,0,112,14,95992
Iran (Islamic Republic of),IRN,2012,28540,306,2006,663567
China,CHN,2012,0,3,7,1990700
Viet Nam,VNM,2012,0,17,14,9025
Philippines,PHL,2012,0,11,1,131
Costa Rica,CRI,2012,0,2,225,59721
China,CHN,2012,0,81,821,1327133
Viet Nam,VNM,2012,0,34,40,39814
Pakistan,PAK,2012,149274,480,2902,3317833
Nigeria,NGA,2012,0,363,867,663567
Philippines,PHL,2012,0,36,19,1777
Viet Nam,VNM,2012,0,11,90,445917
Guatemala,GTM,2012,0,44,178,278698
Haiti,HTI,2012,0,75,20,337092
Myanmar,MMR,2012,0,38,231,1553
Argentina,ARG,2012,0,1,10,2654
Philippines,PHL,2012,0,1,10,4305
Spain,ESP,2012,0,10,35,524218
Japan,JPN,2012,0,2,180,36363
Paraguay,PRY,2012,0,5,100,2654
Philippines,PHL,2012,0,1901,2666,1192233
New Zealand,NZL,2012,0,3,7,12077
Sri Lanka,LKA,2012,0,53,21,1593
Philippines,PHL,2012,120,24,3,7334
Indonesia,IDN,2012,0,16,60,1327
United States of America,USA,2012,0,1,100,5972099
Philippines,PHL,2012,0,29,2,1327
United States of America,USA,2012,0,3,1,132713
Republic of Korea,KOR,2012,0,5,3178,39814
United States of America,USA,2013,0,3,18,392392
China,CHN,2013,0,46,2,10464
Madagascar,MDG,2013,0,42,127,32699
Brazil,BRA,2013,0,235,100,6540
United States of America,USA,2013,0,1,82,130797
Brazil,BRA,2013,0,30,44,1962
Mauritius,MUS,2013,0,11,82,2616
China,CHN,2013,0,25,324,338765
Bangladesh,BGD,2013,0,31,388,26159
Iran (Islamic Republic of),IRN,2013,0,37,850,784784
China,CHN,2013,0,198,14785,8894220
Kenya,KEN,2013,0,96,20,47087
India,IND,2013,0,3,70,156957
United States of America,USA,2013,0,29,450,4054718
United States of America,USA,2013,0,15,200,261595
United States of America,USA,2013,0,6,100,392392
United States of America,USA,2013,0,27,150,2746744
India,IND,2013,0,6054,4473,1438771
Taiwan (Province of China),TWN,2013,0,4,19,1439
Sri Lanka,LKA,2013,0,58,15,2616
Indonesia,IDN,2013,0,48,2532,170037
China,CHN,2013,0,95,887,1307974
China,CHN,2013,0,9,150,601668
Taiwan (Province of China),TWN,2013,0,3,54,56897
Philippines,PHL,2013,0,7,4,1308
Spain,ESP,2013,0,79,140,180500
Philippines,PHL,2013,0,18,7,42419
Philippines,PHL,2013,0,31,30,2864462
Pakistan,PAK,2013,0,234,855,1961960
Sudan,SDN,2013,0,76,133,9156
China,CHN,2013,0,3,50,202736
Lao People's Democratic Republic,LAO,2013,0,20,77,78478
Philippines,PHL,2013,0,11,21,47087
Viet Nam,VNM,2013,0,7,11,1308
Philippines,PHL,2013,0,6,4,2197
Pakistan,PAK,2013,0,399,599,130797
Philippines,PHL,2013,0,230,976,67307
Japan,JPN,2013,0,39,107,261595
United States of America,USA,2013,0,1,6,13080
Guatemala,GTM,2013,0,1,52,2616
Brazil,BRA,2013,0,2,64,117718
Japan,JPN,2013,0,1,19,2616
Japan,JPN,2013,0,6,141,2616
China,CHN,2013,0,17,30,448635
Philippines,PHL,2013,0,33,8,5232
Viet Nam,VNM,2013,0,31,330,867487
Philippines,PHL,2013,0,20,154,126511
Viet Nam,VNM,2013,0,20,154,99406
Philippines,PHL,2013,865152,7354,28689,13079735
Viet Nam,VNM,2013,0,16,89,960053
United States of America,USA,2013,0,11,185,1700366
Viet Nam,VNM,2013,0,47,66,94174
Saint Vincent and the Grenadines,VCT,2013,0,12,37,141261
Argentina,ARG,2013,0,4,12,2616
Brazil,BRA,2013,0,64,100,706306
Taiwan (Province of China),TWN,2013,0,1,97,1308
Tonga,TON,2014,0,1,14,39900
Réunion,REU,2014,0,1,15,109403
Philippines,PHL,2014,0,79,86,16206
Italy,ITA,2014,0,2,1,154451
Indonesia,IDN,2014,0,32,2,106829
Iran (Islamic Republic of),IRN,2014,0,1,30,2574
Japan,JPN,2014,0,37,2800,7593854
Burundi,BDI,2014,0,96,182,2574
Indonesia,IDN,2014,0,7,70,132571
Zimbabwe,ZWE,2014,0,3,2,25742
Japan,JPN,2014,0,24,1600,238112
Republic of Korea,KOR,2014,0,10,101,14158
China,CHN,2014,0,10,90,868788
Vanuatu,VUT,2014,0,12,6,2574
Nicaragua,NIC,2014,0,2,266,3861
Chile,CHL,2014,0,12,500,43761
Tajikistan,TJK,2014,0,20,38,2574
United States of America,USA,2014,0,40,15,2574188
Thailand,THA,2014,0,1,23,79800
Greece,GRC,2014,0,3,2,579192
Sri Lanka,LKA,2014,0,27,9,2574
Afghanistan,AFG,2014,0,81,35,3861
Russian Federation,RUS,2014,0,6,2000,10297
China,CHN,2014,0,71,99,5448234
Philippines,PHL,2014,0,111,1250,1056158
Japan,JPN,2014,0,7,66,200787
Japan,JPN,2014,0,82,67,48910
China,CHN,2014,0,731,3413,6435470
Bangladesh,BGD,2014,0,59,447,205935
Japan,JPN,2014,0,10,96,257419
United States of America,USA,2014,0,1,250,900966
Philippines,PHL,2014,0,22,16,97540
Mexico,MEX,2014,0,6,135,3217735
Pakistan,PAK,2014,0,255,673,2574188
Germany,DEU,2014,0,2,1,514838
Philippines,PHL,2014,0,4,1,24690
Japan,JPN,2014,0,9,94,128709
Japan,JPN,2014,0,7,60,128709
Bulgaria,BGR,2014,0,1,40,701466
Democratic Republic of the Congo,COD,2014,0,154,1000,19306
China,CHN,2014,0,1,324,352664
China,CHN,2014,0,5,65,64355
Philippines,PHL,2014,8139,18,916,146572
United States of America,USA,2014,0,2,36,2059350
Malawi,MWI,2015,52916,278,645,501372
Madagascar,MDG,2015,0,89,37,46280
Afghanistan,AFG,2015,0,254,72,3857
India,IND,2015,0,44,25,97703
Bangladesh,BGD,2015,0,53,200,5142
Mexico,MEX,2015,0,14,229,2571
United States of America,USA,2015,0,1,12,642784
China,CHN,2015,0,34,148,289253
Russian Federation,RUS,2015,0,30,977,175892
United States of America,USA,2015,0,3,12,1799797
Nepal,NPL,2015,533808,8831,17932,6651534
Pakistan,PAK,2015,0,49,267,1286
United States of America,USA,2015,0,4,12,1221291
Brazil,BRA,2015,0,2,97,2571
China,CHN,2015,0,7,37,25711
India,IND,2015,0,100,100,205691
United States of America,USA,2015,0,1,40,205691
China,CHN,2015,0,58,21,1028455
Malaysia,MYS,2015,0,24,10,3
Bangladesh,BGD,2015,0,20,20651,51423
Japan,JPN,2015,0,2,56,266113
China,CHN,2015,0,3,263,4114
North Macedonia,MKD,2015,0,7,30,111845
Burkina Faso,BFA,2015,0,8,54,39853
Philippines,PHL,2015,0,40,24,38951
Dominica,DMA,2015,0,30,20,620686
United States of America,USA,2015,0,4,40,1221291
United States of America,USA,2015,0,4,8,192835
Japan,JPN,2015,0,21,46,1799797
Chile,CHL,2015,0,19,15,1028455
Guatemala,GTM,2015,0,350,26,6428
Taiwan (Province of China),TWN,2015,0,3,376,33425
Philippines,PHL,2015,0,51,83,271236
Yemen,YEM,2015,0,8,65,257114
India,IND,2015,0,325,1000,2828252
Australia,AUS,2015,0,2,30,257114
Tajikistan,TJK,2015,0,2,14,6428
Philippines,PHL,2015,0,46,24,173831
United States of America,USA,2015,0,50,60,2571138
United States of America,USA,2015,0,31,50,771341
India,IND,2016,0,8,308,95216
United States of America,USA,2016,0,50,12,698254
Fiji,FJI,2016,41862,45,144,761731
Taiwan (Province of China),TWN,2016,0,117,525,888687
United States of America,USA,2016,0,10,12,1523463
Haiti,HTI,2016,0,5,7660,2539
Japan,JPN,2016,0,9,800,48242988
Uruguay,URY,2016,0,8,250,3809
Ecuador,ECU,2016,44992,672,6274,2539105
Chile,CHL,2016,0,12,100,126955
Japan,JPN,2016,0,49,1684,25391047
Myanmar,MMR,2016,0,14,12,2539
United States of America,USA,2016,0,2,10,2158239
France,FRA,2016,0,5,24,3046926
United States of America,USA,2016,0,9,12,1396508
Myanmar,MMR,2016,0,18,24,3301
China,CHN,2016,0,102,1000,383405
China,CHN,2016,0,99,846,634776
Nepal,NPL,2016,0,138,51,19043
Viet Nam,VNM,2016,0,1,5,242484
North Macedonia,MKD,2016,0,22,60,63478
Portugal,PRT,2016,0,4,200,199320
Italy,ITA,2016,0,296,400,6347762
United Republic of Tanzania,TZA,2016,0,17,440,581455
Taiwan (Province of China),TWN,2016,0,7,160,139651
Haiti,HTI,2016,0,546,439,2539105
Italy,ITA,2016,0,1,24,253910
Egypt,EGY,2016,0,26,72,31739
Viet Nam,VNM,2016,0,11,15,199
Japan,JPN,2016,0,2,70,126955
Myanmar,MMR,2016,0,4,2,12696
New Zealand,NZL,2016,0,2,50,4951254
Viet Nam,VNM,2016,0,35,30,132389
United States of America,USA,2016,0,14,191,1523463
Indonesia,IDN,2016,0,104,857,126955
United States of America,USA,2016,0,8,33,349127
Saudi Arabia,SAU,2016,0,3,2,63478
Viet Nam,VNM,2016,0,27,16,44434
Mozambique,MOZ,2016,0,12,200,1904
Pakistan,PAK,2016,0,141,127,2539
Chile,CHL,2017,0,11,16,683690
Italy,ITA,2017,0,29,11,22375
United States of America,USA,2017,0,24,200,1367381
Philippines,PHL,2017,0,8,202,17371
Mozambique,MOZ,2017,0,7,102,21132
United States of America,USA,2017,0,4,12,2361839
Madagascar,MDG,2017,0,81,253,24861
Peru,PER,2017,0,184,505,3853527
France,FRA,2017,0,2,11,683690
Colombia,COL,2017,0,329,360,124307
Zimbabwe,ZWE,2017,0,251,128,234941
Indonesia,IDN,2017,0,28,17,13674
United States of America,USA,2017,0,11,12,1243073
China,CHN,2017,0,7,33,34806
Colombia,COL,2017,0,20,23,2486
China,CHN,2017,0,8,23,2486
United States of America,USA,2017,0,20,70,2113225
Philippines,PHL,2017,0,10,10,2486
Russian Federation,RUS,2017,0,16,201,2486
Sri Lanka,LKA,2017,0,293,154,483556
Taiwan (Province of China),TWN,2017,0,5,35,34930
Portugal,PRT,2017,0,64,204,288393
Iran (Islamic Republic of),IRN,2017,0,3,417,2486
Indonesia,IDN,2017,0,7,11,2486
Pakistan,PAK,2017,0,167,167,136738
China,CHN,2017,0,78,8,7458440
Japan,JPN,2017,0,37,34,870151
Philippines,PHL,2017,0,3,448,5425
Viet Nam,VNM,2017,0,1,4,441
Taiwan (Province of China),TWN,2017,0,1,131,21381
Japan,JPN,2017,0,2,51,2486
China,CHN,2017,0,29,525,621537
Viet Nam,VNM,2017,0,39,21,109390
Poland,POL,2017,0,6,45,341845
Nepal,NPL,2017,0,176,134,739629
Sierra Leone,SLE,2017,0,1102,100,37292
China,CHN,2017,0,8,373,4350757
"China, Macao Special Administrative Region",MAC,2017,0,10,200,1765164
Viet Nam,VNM,2017,0,1,1,1777595
Germany,DEU,2017,0,3,24,197649
United States of America,USA,2017,0,88,24,118091963
China,CHN,2017,0,35,8,2859
India,IND,2017,0,14,12,372922
Saint Martin (French Part),MAF,2017,0,12,110,5096601
Sint Maarten (Dutch part),SXM,2017,0,4,40,3107683
Mexico,MEX,2017,0,98,250,2859069
Dominica,DMA,2017,0,64,100,1809915
Guadeloupe,GLP,2017,0,4,2,149169
Mexico,MEX,2017,0,369,6000,7458440
Viet Nam,VNM,2017,0,14,112,601647
Romania,ROU,2017,0,9,137,9074
Portugal,PRT,2017,0,45,71,621537
Viet Nam,VNM,2017,0,75,38,0
Japan,JPN,2017,0,8,210,1243073
United States of America,USA,2017,0,43,185,16159953
Iran (Islamic Republic of),IRN,2017,0,444,9000,919874
South Africa,ZAF,2017,0,11,18,397783
Japan,JPN,2017,0,2,56,621537
Albania,ALB,2017,0,1,2,11063
Sri Lanka,LKA,2017,0,27,77,430103
United States of America,USA,2017,0,2,2,2734761
Philippines,PHL,2017,0,91,78,89378
United States of America,USA,2017,0,2,15,2734761
France,FRA,2018,0,6,30,242687
Philippines,PHL,2018,0,3,9,14916
United States of America,USA,2018,0,21,28,1092092
Germany,DEU,2018,0,5,12,714076
Indonesia,IDN,2018,0,1,11,97075
Papua New Guinea,PNG,2018,0,145,300,74020
Taiwan (Province of China),TWN,2018,0,84,285,121344
Rwanda,RWA,2018,0,24,51,26696
Kenya,KEN,2018,0,72,33,424702
India,IND,2018,0,42,200,121344
India,IND,2018,0,18,50,121344
India,IND,2018,0,143,200,29122
Japan,JPN,2018,0,5,417,3943664
Japan,JPN,2018,0,246,102,11527634
Viet Nam,VNM,2018,0,33,18,27909
Rwanda,RWA,2018,0,18,12,33976
India,IND,2018,0,15,24,12134
Indonesia,IDN,2018,0,14,135,35190
Indonesia,IDN,2018,0,564,1584,958614
Indonesia,IDN,2018,0,10,24,6067
Taiwan (Province of China),TWN,2018,0,7,140,41257
Japan,JPN,2018,0,17,600,15167939
Ethiopia,ETH,2018,0,12,4,44
Japan,JPN,2018,0,41,680,1516794
Philippines,PHL,2018,0,84,138,38870
Japan,JPN,2018,0,4,200,5460458
Nigeria,NGA,2018,0,199,1306,333695
France,FRA,2018,0,14,76,412568
Portugal,PRT,2018,0,2,28,140152
Iran (Islamic Republic of),IRN,2018,0,9,145,201430
India,IND,2018,0,85,200,1116360
Philippines,PHL,2018,0,12,2,370098
Russian Federation,RUS,2018,0,8,3,12134
Philippines,PHL,2018,0,182,105,129538
Indonesia,IDN,2018,0,453,14059,303359
United States of America,USA,2018,0,2,3,6309863
Viet Nam,VNM,2018,0,19,28,20871
United States of America,USA,2019,0,28,90,226449
Iran (Islamic Republic of),IRN,2019,0,5,20,95347
United States of America,USA,2019,0,2,12,1430203
China,CHN,2019,0,2,12,2384
Mozambique,MOZ,2019,0,603,1500,2383672
Indonesia,IDN,2019,0,206,915,122759
Iran (Islamic Republic of),IRN,2019,0,70,1076,2979590
United States of America,USA,2019,0,8,12,1549387
Philippines,PHL,2019,0,25,282,59592
Mozambique,MOZ,2019,0,45,94,274122
Indonesia,IDN,2019,0,18,2,17878
Libya,LBY,2019,0,4,30,8462
China,CHN,2019,0,13,220,1549387
China,CHN,2019,0,6,120,172816
Russian Federation,RUS,2019,0,31,190,548245
Nepal,NPL,2019,0,119,41,243135
Philippines,PHL,2019,0,9,64,6267
China,CHN,2019,0,38,6,238367
Japan,JPN,2019,0,1,2,119184
Pakistan,PAK,2019,0,39,746,20261
Republic of Korea,KOR,2019,0,15,11,659085
Japan,JPN,2019,0,99,470,20261210
United States of America,USA,2019,0,3,12,387347
Japan,JPN,2019,0,3,150,10845706
Australia,AUS,2019,0,32,24,2383672
Philippines,PHL,2019,0,19,3,42906
Bangladesh,BGD,2019,0,40,71,6895
Iran (Islamic Republic of),IRN,2019,0,6,584,107265
Albania,ALB,2019,0,51,913,834285
Philippines,PHL,2019,0,4,318,130090
Madagascar,MDG,2019,0,5,6293,29796
France,FRA,2019,0,2,13,119184
Indonesia,IDN,2019,0,66,110,1430203
Philippines,PHL,2019,0,63,369,18738
Puerto Rico,PRI,2020,0,4,8,941850
Iran (Islamic Republic of),IRN,2020,0,4,12,951269
Brazil,BRA,2020,0,61,12,353194
Türkiye,TUR,2020,0,41,1607,0
United States of America,USA,2020,0,25,300,2943282
Viet Nam,VNM,2020,0,5,17,1766
Peru,PER,2020,0,15,23,11773
Egypt,EGY,2020,0,40,400,89476
Croatia,HRV,2020,0,1,27,8005727
Yemen,YEM,2020,0,2,4,11773
Iran (Islamic Republic of),IRN,2020,0,21,22,1765969
Timor-Leste,TLS,2020,0,3,7,23546
United States of America,USA,2020,0,38,200,4120595
United States of America,USA,2020,0,3,31,1648238
Yemen,YEM,2020,0,10,30,11773
Thailand,THA,2020,0,2,2,11773
Philippines,PHL,2020,0,5,169,36614
China,CHN,2020,0,4,24,20014
Indonesia,IDN,2020,0,7,3,2472
Mexico,MEX,2020,0,10,24,88298
Japan,JPN,2020,0,82,114,6828414
Nepal,NPL,2020,0,448,287,117731
Sudan,SDN,2020,0,155,13,294328
Lebanon,LBN,2020,0,206,6000,17659691
Indonesia,IDN,2020,0,105,51,11773
Viet Nam,VNM,2020,0,5,1,25901
Pakistan,PAK,2020,0,410,170,1765969
Philippines,PHL,2020,0,1,20,2943
Italy,ITA,2020,0,3,20,70639
Nigeria,NGA,2020,0,155,825,117731
Philippines,PHL,2020,0,31,399,592534
Türkiye,TUR,2020,0,115,1034,529791
Philippines,PHL,2020,0,31,40,102544
Guatemala,GTM,2020,0,160,30,454443
Philippines,PHL,2020,0,111,85,495649
Philippines,PHL,2020,0,9,2,2700
Norway,NOR,2020,0,10,10,153051
Croatia,HRV,2020,0,8,36,7326888
Indonesia,IDN,2021,0,110,826,66007
Japan,JPN,2021,0,23,394,2248973
United States of America,USA,2021,0,1,30,134938
Brazil,BRA,2021,0,2,2,41606
Philippines,PHL,2021,0,5,2,3502
Iran (Islamic Republic of),IRN,2021,0,2,63,11245
United States of America,USA,2021,0,235,10,33734590
Japan,JPN,2021,0,1,185,8658545
United States of America,USA,2021,0,1,1,168673
Indonesia,IDN,2021,0,226,21,899589
United States of America,USA,2021,0,3,7,1062640
China,CHN,2021,0,11,66,2811
India,IND,2021,0,198,153,1574281
China,CHN,2021,0,12,249,107951
United States of America,USA,2021,0,4,8,1461832
China,CHN,2021,0,3,28,580235
United States of America,USA,2021,0,14,20,421682
Czechia,CZE,2021,0,6,213,788265
Canada,CAN,2021,0,1,2,28112
United States of America,USA,2021,0,1,9,1349384
Germany,DEU,2021,0,197,1000,44979453
United States of America,USA,2021,0,3,13,3373459
Türkiye,TUR,2021,0,9,122,260881
Greece,GRC,2021,0,2,500,652202
Türkiye,TUR,2021,0,70,360,326101
Haiti,HTI,2021,0,2575,12763,1821748
Mexico,MEX,2021,0,2,3,112449
China,CHN,2021,0,3,88,281122
Greece,GRC,2021,0,1,20,33735
Philippines,PHL,2021,0,59,5,85022
Iran (Islamic Republic of),IRN,2021,0,1,104,185540
Indonesia,IDN,2021,0,71,27,22490
Brazil,BRA,2021,0,51,523,468911
United States of America,USA,2021,0,93,100,5847329
Philippines,PHL,2021,0,457,1371,1029210
Brazil,BRA,2022,0,15,32,93705
Brazil,BRA,2022,0,35,12,74964
Ecuador,ECU,2022,0,29,52,55182
Brazil,BRA,2022,0,272,197,28111
Indonesia,IDN,2022,0,15,388,40605
Japan,JPN,2022,0,3,183,9162244
United States of America,USA,2022,0,5,50,3123492
Philippines,PHL,2022,0,346,8,43267
South Africa,ZAF,2022,0,544,50,3644074
United States of America,USA,2022,0,1,28,2915259
United States of America,USA,2022,0,2,49,161380
Bosnia and Herzegovina,BIH,2022,0,1,2,27070
United States of America,USA,2022,0,3,6,606999
India,IND,2022,0,2035,1260,4372889
Guatemala,GTM,2022,0,48,23,212397
Brazil,BRA,2022,0,116,4,477894
United States of America,USA,2022,0,2,12,2602910
China,CHN,2022,0,4,41,43729
Cameroon,CMR,2022,0,2,95,15617
Iran (Islamic Republic of),IRN,2022,0,5,84,148886
Pakistan,PAK,2022,0,1739,12865,0
Sudan,SDN,2022,0,146,122,10412
Philippines,PHL,2022,0,10,394,157216
United States of America,USA,2022,0,4,7,157216
Japan,JPN,2022,0,2,8,146804
Republic of Korea,KOR,2022,0,14,18,440412
China,CHN,2022,0,118,400,2394677
Japan,JPN,2022,0,5,140,2082328
Taiwan (Province of China),TWN,2022,0,1,140,52058
Philippines,PHL,2022,0,17,52,59290
Mexico,MEX,2022,0,2,9,26029
Nigeria,NGA,2022,0,603,2500,4372889
Viet Nam,VNM,2022,0,19,110,67676
Philippines,PHL,2022,0,158,103,47445
Türkiye,TUR,2022,0,2,93,52058
United States of America,USA,2022,0,2,12,260291
United States of America,USA,2022,0,3,37,359202
Philippines,PHL,2022,0,70,16,11453
Philippines,PHL,2023,0,52,11,30371
United States of America,USA,2023,0,11,49,770000
Iran (Islamic Republic of),IRN,2023,0,3,1017,255000
Chile,CHL,2023,0,26,3034,900000
United States of America,USA,2023,0,10,25,385000
Syrian Arab Republic,SYR,2023,0,5900,8700,8900000
Türkiye,TUR,2023,0,53000,107000,34000000
Brazil,BRA,2023,0,67,25,30000
Malawi,MWI,2023,0,1209,2186,506710
Ecuador,ECU,2023,0,30,37,205000
United States of America,USA,2023,0,25,72,2900000
United States of America,USA,2023,0,31,200,5500000
United States of America,USA,2023,0,5,5,2900000
Democratic Republic of the Congo,COD,2023,0,2830,220,10000
Bangladesh,BGD,2023,0,3,12,1000
United States of America,USA,2023,0,5,135,3800000
United States of America,USA,2023,0,3,12,4100000
United States of America,USA,2023,0,8,100,5300000
China,CHN,2023,0,56,39,25000000
Philippines,PHL,2023,0,39,171,284256
Taiwan (Province of China),TWN,2023,0,1,68,10000
China,CHN,2023,0,1,2,690000
Philippines,PHL,2023,0,4,3,33000
Morocco,MAR,2023,0,2946,5674,7000000
Brazil,BRA,2023,0,46,924,705000
Nepal,NPL,2023,0,154,366,100000
Philippines,PHL,2023,0,11,37,25393
Philippines,PHL,2023,0,2,1,2160
United States of America,USA,2023,0,6,91,100000
Argentina,ARG,2023,0,15,14,125000
United States of America,USA,2023,0,7,12,1300000
