REF_AREA,Reference area,Type of expenditure,Unit of measure,TIME_PERIOD,OBS_VALUE,OBS_STATUS,Observation status
CHE,Switzerland,Expenditure for educational institutions,Percentage of GDP,2000,,O,Missing value
CHE,Switzerland,Expenditure for educational institutions,Percentage of GDP,2005,,O,Missing value
CHE,Switzerland,Expenditure for educational institutions,Percentage of GDP,2008,,O,Missing value
BEL,Belgium,Expenditure for educational institutions,Percentage of GDP,2015,5.647653,A,Normal value
BEL,Belgium,Expenditure for educational institutions,Percentage of GDP,2016,5.690906,A,Normal value
BEL,Belgium,Expenditure for educational institutions,Percentage of GDP,2017,5.679932,A,Normal value
FRA,France,Expenditure for educational institutions,Percentage of GDP,2008,5.178567,A,Normal value
FRA,France,Expenditure for educational institutions,Percentage of GDP,2009,5.468454,A,Normal value
ARG,Argentina,Expenditure for educational institutions,Percentage of GDP,2008,4.925323,A,Normal value
ARG,Argentina,Expenditure for educational institutions,Percentage of GDP,2009,5.575072,A,Normal value
ARG,Argentina,Expenditure for educational institutions,Percentage of GDP,2010,5.326808,A,Normal value
ARG,Argentina,Expenditure for educational institutions,Percentage of GDP,2011,5.516528,A,Normal value
JPN,Japan,Expenditure for educational institutions,Percentage of GDP,2010,4.318588,A,Normal value
JPN,Japan,Expenditure for educational institutions,Percentage of GDP,2011,4.219763,A,Normal value
JPN,Japan,Expenditure for educational institutions,Percentage of GDP,2020,4.0587382,A,Normal value
FIN,Finland,Expenditure for educational institutions,Percentage of GDP,1995,5.785995,A,Normal value
FIN,Finland,Expenditure for educational institutions,Percentage of GDP,2000,5.11374,A,Normal value
FIN,Finland,Expenditure for educational institutions,Percentage of GDP,2005,5.345207,A,Normal value
BEL,Belgium,Expenditure for educational institutions,Percentage of GDP,2012,5.784721,A,Normal value
BEL,Belgium,Expenditure for educational institutions,Percentage of GDP,2013,5.837977,A,Normal value
BEL,Belgium,Expenditure for educational institutions,Percentage of GDP,2014,5.769122,A,Normal value
FIN,Finland,Expenditure for educational institutions,Percentage of GDP,2013,5.70701,A,Normal value
FIN,Finland,Expenditure for educational institutions,Percentage of GDP,2014,5.679844,A,Normal value
FIN,Finland,Expenditure for educational institutions,Percentage of GDP,2015,5.680052,A,Normal value
FIN,Finland,Expenditure for educational institutions,Percentage of GDP,2016,5.512632,A,Normal value
FIN,Finland,Expenditure for educational institutions,Percentage of GDP,2017,5.182091,A,Normal value
FIN,Finland,Expenditure for educational institutions,Percentage of GDP,2018,5.145586,A,Normal value
FIN,Finland,Expenditure for educational institutions,Percentage of GDP,2019,5.242933,A,Normal value
FIN,Finland,Expenditure for educational institutions,Percentage of GDP,2020,5.4414549,A,Normal value
CZE,Czechia,Expenditure for educational institutions,Percentage of GDP,1995,4.019825,A,Normal value
CZE,Czechia,Expenditure for educational institutions,Percentage of GDP,2000,3.315013,A,Normal value
CZE,Czechia,Expenditure for educational institutions,Percentage of GDP,2005,3.693321,A,Normal value
CZE,Czechia,Expenditure for educational institutions,Percentage of GDP,2008,3.594013,A,Normal value
CZE,Czechia,Expenditure for educational institutions,Percentage of GDP,2009,3.932655,A,Normal value
CZE,Czechia,Expenditure for educational institutions,Percentage of GDP,2010,3.84564,A,Normal value
CZE,Czechia,Expenditure for educational institutions,Percentage of GDP,2011,4.046715,A,Normal value
CZE,Czechia,Expenditure for educational institutions,Percentage of GDP,2012,4.161878,A,Normal value
CZE,Czechia,Expenditure for educational institutions,Percentage of GDP,2013,3.979249,A,Normal value
CZE,Czechia,Expenditure for educational institutions,Percentage of GDP,2014,3.845031,A,Normal value
CZE,Czechia,Expenditure for educational institutions,Percentage of GDP,2015,3.778251,A,Normal value
CZE,Czechia,Expenditure for educational institutions,Percentage of GDP,2016,3.440815,A,Normal value
CZE,Czechia,Expenditure for educational institutions,Percentage of GDP,2017,3.58535,A,Normal value
CZE,Czechia,Expenditure for educational institutions,Percentage of GDP,2018,4.098183,A,Normal value
CZE,Czechia,Expenditure for educational institutions,Percentage of GDP,2019,4.347249,A,Normal value
CZE,Czechia,Expenditure for educational institutions,Percentage of GDP,2020,4.486846,A,Normal value
BEL,Belgium,Expenditure for educational institutions,Percentage of GDP,2018,5.648727,A,Normal value
BEL,Belgium,Expenditure for educational institutions,Percentage of GDP,2019,5.585681,A,Normal value
BEL,Belgium,Expenditure for educational institutions,Percentage of GDP,2020,6.0481319,A,Normal value
ARG,Argentina,Expenditure for educational institutions,Percentage of GDP,2000,4.233137,A,Normal value
DNK,Denmark,Expenditure for educational institutions,Percentage of GDP,2013,6.285447,A,Normal value
DNK,Denmark,Expenditure for educational institutions,Percentage of GDP,2014,6.488453,A,Normal value
DNK,Denmark,Expenditure for educational institutions,Percentage of GDP,2016,6.045436,A,Normal value
DNK,Denmark,Expenditure for educational institutions,Percentage of GDP,2017,5.755089,A,Normal value
DNK,Denmark,Expenditure for educational institutions,Percentage of GDP,2018,5.774094,A,Normal value
DNK,Denmark,Expenditure for educational institutions,Percentage of GDP,2019,5.794921,A,Normal value
DNK,Denmark,Expenditure for educational institutions,Percentage of GDP,2020,5.8080292,A,Normal value
NLD,Netherlands,Expenditure for educational institutions,Percentage of GDP,1995,4.612225,A,Normal value
NLD,Netherlands,Expenditure for educational institutions,Percentage of GDP,2000,4.44086,A,Normal value
NLD,Netherlands,Expenditure for educational institutions,Percentage of GDP,2005,4.98701,A,Normal value
NLD,Netherlands,Expenditure for educational institutions,Percentage of GDP,2008,4.83927,A,Normal value
NLD,Netherlands,Expenditure for educational institutions,Percentage of GDP,2009,5.344682,A,Normal value
NLD,Netherlands,Expenditure for educational institutions,Percentage of GDP,2010,5.373567,A,Normal value
NLD,Netherlands,Expenditure for educational institutions,Percentage of GDP,2011,5.319355,A,Normal value
NLD,Netherlands,Expenditure for educational institutions,Percentage of GDP,2012,5.378428,A,Normal value
NLD,Netherlands,Expenditure for educational institutions,Percentage of GDP,2013,5.441604,A,Normal value
NLD,Netherlands,Expenditure for educational institutions,Percentage of GDP,2014,5.307566,A,Normal value
NLD,Netherlands,Expenditure for educational institutions,Percentage of GDP,2015,5.307201,A,Normal value
NLD,Netherlands,Expenditure for educational institutions,Percentage of GDP,2016,5.220699,A,Normal value
NLD,Netherlands,Expenditure for educational institutions,Percentage of GDP,2017,5.166924,A,Normal value
NLD,Netherlands,Expenditure for educational institutions,Percentage of GDP,2018,5.156971,A,Normal value
NLD,Netherlands,Expenditure for educational institutions,Percentage of GDP,2019,5.102827,A,Normal value
NLD,Netherlands,Expenditure for educational institutions,Percentage of GDP,2020,5.3626609,A,Normal value
TUR,Türkiye,Expenditure for educational institutions,Percentage of GDP,2011,4.8734,A,Normal value
TUR,Türkiye,Expenditure for educational institutions,Percentage of GDP,2012,5.183638,A,Normal value
TUR,Türkiye,Expenditure for educational institutions,Percentage of GDP,2013,5.166589,A,Normal value
TUR,Türkiye,Expenditure for educational institutions,Percentage of GDP,2014,5.262717,A,Normal value
TUR,Türkiye,Expenditure for educational institutions,Percentage of GDP,2015,5.077522,A,Normal value
TUR,Türkiye,Expenditure for educational institutions,Percentage of GDP,2016,5.402641,A,Normal value
TUR,Türkiye,Expenditure for educational institutions,Percentage of GDP,2017,4.974149,A,Normal value
TUR,Türkiye,Expenditure for educational institutions,Percentage of GDP,2018,5.069618,A,Normal value
TUR,Türkiye,Expenditure for educational institutions,Percentage of GDP,2019,5.239873,A,Normal value
TUR,Türkiye,Expenditure for educational institutions,Percentage of GDP,2020,4.7309942,A,Normal value
DEU,Germany,Expenditure for educational institutions,Percentage of GDP,2005,4.331934,A,Normal value
DEU,Germany,Expenditure for educational institutions,Percentage of GDP,2008,4.190094,A,Normal value
DEU,Germany,Expenditure for educational institutions,Percentage of GDP,2010,4.549213,A,Normal value
DEU,Germany,Expenditure for educational institutions,Percentage of GDP,2011,4.416789,A,Normal value
DEU,Germany,Expenditure for educational institutions,Percentage of GDP,2012,4.376487,A,Normal value
DEU,Germany,Expenditure for educational institutions,Percentage of GDP,2013,4.347379,A,Normal value
DEU,Germany,Expenditure for educational institutions,Percentage of GDP,2014,4.303651,A,Normal value
DEU,Germany,Expenditure for educational institutions,Percentage of GDP,2015,4.249793,A,Normal value
DEU,Germany,Expenditure for educational institutions,Percentage of GDP,2016,4.205211,A,Normal value
DEU,Germany,Expenditure for educational institutions,Percentage of GDP,2017,4.192521,A,Normal value
DEU,Germany,Expenditure for educational institutions,Percentage of GDP,2018,4.238696,A,Normal value
DEU,Germany,Expenditure for educational institutions,Percentage of GDP,2020,4.6002889,A,Normal value
COL,Colombia,Expenditure for educational institutions,Percentage of GDP,2018,5.868555,A,Normal value
COL,Colombia,Expenditure for educational institutions,Percentage of GDP,2019,5.742437,A,Normal value
COL,Colombia,Expenditure for educational institutions,Percentage of GDP,2020,6.6430149,A,Normal value
HRV,Croatia,Expenditure for educational institutions,Percentage of GDP,2012,3.88532,A,Normal value
HRV,Croatia,Expenditure for educational institutions,Percentage of GDP,2013,3.711181,A,Normal value
HRV,Croatia,Expenditure for educational institutions,Percentage of GDP,2014,3.752421,A,Normal value
HRV,Croatia,Expenditure for educational institutions,Percentage of GDP,2016,3.793269,A,Normal value
HRV,Croatia,Expenditure for educational institutions,Percentage of GDP,2017,3.803296,A,Normal value
FIN,Finland,Expenditure for educational institutions,Percentage of GDP,2008,5.204236,A,Normal value
FIN,Finland,Expenditure for educational institutions,Percentage of GDP,2009,5.710183,A,Normal value
FIN,Finland,Expenditure for educational institutions,Percentage of GDP,2010,5.769977,A,Normal value
FIN,Finland,Expenditure for educational institutions,Percentage of GDP,2011,5.738425,A,Normal value
FIN,Finland,Expenditure for educational institutions,Percentage of GDP,2012,5.752868,A,Normal value
POL,Poland,Expenditure for educational institutions,Percentage of GDP,2018,4.396901,A,Normal value
POL,Poland,Expenditure for educational institutions,Percentage of GDP,2019,4.459254,A,Normal value
POL,Poland,Expenditure for educational institutions,Percentage of GDP,2020,4.6395278,A,Normal value
ISL,Iceland,Expenditure for educational institutions,Percentage of GDP,2000,5.627063,A,Normal value
ISL,Iceland,Expenditure for educational institutions,Percentage of GDP,2005,6.370421,A,Normal value
ISL,Iceland,Expenditure for educational institutions,Percentage of GDP,2008,5.879181,A,Normal value
ISL,Iceland,Expenditure for educational institutions,Percentage of GDP,2009,5.949553,A,Normal value
ISL,Iceland,Expenditure for educational institutions,Percentage of GDP,2010,5.627957,A,Normal value
ISL,Iceland,Expenditure for educational institutions,Percentage of GDP,2011,5.623719,A,Normal value
ISL,Iceland,Expenditure for educational institutions,Percentage of GDP,2012,5.743016,A,Normal value
ISL,Iceland,Expenditure for educational institutions,Percentage of GDP,2013,5.612177,A,Normal value
ISL,Iceland,Expenditure for educational institutions,Percentage of GDP,2014,5.727715,A,Normal value
ISL,Iceland,Expenditure for educational institutions,Percentage of GDP,2015,5.630934,A,Normal value
ISL,Iceland,Expenditure for educational institutions,Percentage of GDP,2016,5.529173,A,Normal value
ISL,Iceland,Expenditure for educational institutions,Percentage of GDP,2017,5.742653,A,Normal value
ISL,Iceland,Expenditure for educational institutions,Percentage of GDP,2018,5.739602,A,Normal value
ISL,Iceland,Expenditure for educational institutions,Percentage of GDP,2020,6.3161092,A,Normal value
EU25,European Union (25 countries),Expenditure for educational institutions,Percentage of GDP,2005,4.728715,A,Normal value
EU25,European Union (25 countries),Expenditure for educational institutions,Percentage of GDP,2008,4.766361,A,Normal value
EU25,European Union (25 countries),Expenditure for educational institutions,Percentage of GDP,2009,5.143327313,A,Normal value
EU25,European Union (25 countries),Expenditure for educational institutions,Percentage of GDP,2010,5.060399722,A,Normal value
EU25,European Union (25 countries),Expenditure for educational institutions,Percentage of GDP,2011,4.910598278,A,Normal value
EU25,European Union (25 countries),Expenditure for educational institutions,Percentage of GDP,2012,4.48373775,A,Normal value
EU25,European Union (25 countries),Expenditure for educational institutions,Percentage of GDP,2013,4.563364,A,Normal value
EU25,European Union (25 countries),Expenditure for educational institutions,Percentage of GDP,2014,4.5050011,A,Normal value
EU25,European Union (25 countries),Expenditure for educational institutions,Percentage of GDP,2015,4.3555088,A,Normal value
EU25,European Union (25 countries),Expenditure for educational institutions,Percentage of GDP,2016,4.2880311,A,Normal value
EU25,European Union (25 countries),Expenditure for educational institutions,Percentage of GDP,2017,4.2169762,A,Normal value
EU25,European Union (25 countries),Expenditure for educational institutions,Percentage of GDP,2018,4.2653289,A,Normal value
EU25,European Union (25 countries),Expenditure for educational institutions,Percentage of GDP,2019,4.3018942,A,Normal value
EU25,European Union (25 countries),Expenditure for educational institutions,Percentage of GDP,2020,4.5614624,A,Normal value
SWE,Sweden,Expenditure for educational institutions,Percentage of GDP,1995,5.323182,A,Normal value
SWE,Sweden,Expenditure for educational institutions,Percentage of GDP,2000,5.478726,A,Normal value
SWE,Sweden,Expenditure for educational institutions,Percentage of GDP,2005,5.496804,A,Normal value
SWE,Sweden,Expenditure for educational institutions,Percentage of GDP,2008,5.290733,A,Normal value
SWE,Sweden,Expenditure for educational institutions,Percentage of GDP,2009,5.572753,A,Normal value
SWE,Sweden,Expenditure for educational institutions,Percentage of GDP,2010,5.361619,A,Normal value
SWE,Sweden,Expenditure for educational institutions,Percentage of GDP,2011,5.23788,A,Normal value
SWE,Sweden,Expenditure for educational institutions,Percentage of GDP,2012,5.309971,A,Normal value
SWE,Sweden,Expenditure for educational institutions,Percentage of GDP,2013,5.323921,A,Normal value
SWE,Sweden,Expenditure for educational institutions,Percentage of GDP,2014,5.296808,A,Normal value
SWE,Sweden,Expenditure for educational institutions,Percentage of GDP,2015,5.190292,A,Normal value
SWE,Sweden,Expenditure for educational institutions,Percentage of GDP,2016,5.374234,A,Normal value
SWE,Sweden,Expenditure for educational institutions,Percentage of GDP,2017,5.431492,A,Normal value
SWE,Sweden,Expenditure for educational institutions,Percentage of GDP,2018,5.541844,A,Normal value
SWE,Sweden,Expenditure for educational institutions,Percentage of GDP,2019,5.498211,A,Normal value
SWE,Sweden,Expenditure for educational institutions,Percentage of GDP,2020,5.6588292,A,Normal value
CAN,Canada,Expenditure for educational institutions,Percentage of GDP,2000,5.902431,A,Normal value
CAN,Canada,Expenditure for educational institutions,Percentage of GDP,2005,5.894902,A,Normal value
CAN,Canada,Expenditure for educational institutions,Percentage of GDP,2008,6.035011,A,Normal value
CAN,Canada,Expenditure for educational institutions,Percentage of GDP,2009,6.349797,A,Normal value
CAN,Canada,Expenditure for educational institutions,Percentage of GDP,2010,6.709126,A,Normal value
CAN,Canada,Expenditure for educational institutions,Percentage of GDP,2011,6.358944,A,Normal value
CAN,Canada,Expenditure for educational institutions,Percentage of GDP,2012,5.90161,A,Normal value
CAN,Canada,Expenditure for educational institutions,Percentage of GDP,2013,5.848073,A,Normal value
CAN,Canada,Expenditure for educational institutions,Percentage of GDP,2014,5.763261,A,Normal value
CAN,Canada,Expenditure for educational institutions,Percentage of GDP,2015,5.611085,A,Normal value
CAN,Canada,Expenditure for educational institutions,Percentage of GDP,2016,5.934327,A,Normal value
CAN,Canada,Expenditure for educational institutions,Percentage of GDP,2017,5.901431,A,Normal value
CAN,Canada,Expenditure for educational institutions,Percentage of GDP,2018,5.862919,A,Normal value
CAN,Canada,Expenditure for educational institutions,Percentage of GDP,2019,5.716787,A,Normal value
CAN,Canada,Expenditure for educational institutions,Percentage of GDP,2020,5.99962,A,Normal value
CHL,Chile,Expenditure for educational institutions,Percentage of GDP,1995,4.239735,A,Normal value
CHL,Chile,Expenditure for educational institutions,Percentage of GDP,2000,6.178611,A,Normal value
CHL,Chile,Expenditure for educational institutions,Percentage of GDP,2005,5.558745,A,Normal value
CHL,Chile,Expenditure for educational institutions,Percentage of GDP,2008,5.495113,A,Normal value
CHL,Chile,Expenditure for educational institutions,Percentage of GDP,2009,5.880249,A,Normal value
CHL,Chile,Expenditure for educational institutions,Percentage of GDP,2010,5.714833,A,Normal value
CHL,Chile,Expenditure for educational institutions,Percentage of GDP,2011,5.73677,A,Normal value
CHL,Chile,Expenditure for educational institutions,Percentage of GDP,2012,6.187727,A,Normal value
CHL,Chile,Expenditure for educational institutions,Percentage of GDP,2013,5.775715,A,Normal value
CHL,Chile,Expenditure for educational institutions,Percentage of GDP,2014,5.465916,A,Normal value
CHL,Chile,Expenditure for educational institutions,Percentage of GDP,2015,5.205803,A,Normal value
CHL,Chile,Expenditure for educational institutions,Percentage of GDP,2020,6.438633,A,Normal value
USA,United States,Expenditure for educational institutions,Percentage of GDP,2000,5.836428,A,Normal value
USA,United States,Expenditure for educational institutions,Percentage of GDP,2005,6.215976,A,Normal value
USA,United States,Expenditure for educational institutions,Percentage of GDP,2008,6.45349,A,Normal value
USA,United States,Expenditure for educational institutions,Percentage of GDP,2009,6.59953,A,Normal value
USA,United States,Expenditure for educational institutions,Percentage of GDP,2010,6.561537,A,Normal value
USA,United States,Expenditure for educational institutions,Percentage of GDP,2011,6.484844,A,Normal value
USA,United States,Expenditure for educational institutions,Percentage of GDP,2012,6.354916,A,Normal value
USA,United States,Expenditure for educational institutions,Percentage of GDP,2013,6.109129,A,Normal value
USA,United States,Expenditure for educational institutions,Percentage of GDP,2014,6.10601,A,Normal value
USA,United States,Expenditure for educational institutions,Percentage of GDP,2015,6.054882,A,Normal value
USA,United States,Expenditure for educational institutions,Percentage of GDP,2016,6.092881,A,Normal value
USA,United States,Expenditure for educational institutions,Percentage of GDP,2017,6.143793,A,Normal value
USA,United States,Expenditure for educational institutions,Percentage of GDP,2018,6.043471,A,Normal value
USA,United States,Expenditure for educational institutions,Percentage of GDP,2019,6.001266,A,Normal value
USA,United States,Expenditure for educational institutions,Percentage of GDP,2020,6.0909219,A,Normal value
IND,India,Expenditure for educational institutions,Percentage of GDP,2000,4.246695,A,Normal value
IND,India,Expenditure for educational institutions,Percentage of GDP,2005,3.822175,A,Normal value
PRT,Portugal,Expenditure for educational institutions,Percentage of GDP,1995,4.300923,A,Normal value
PRT,Portugal,Expenditure for educational institutions,Percentage of GDP,2000,4.6583,A,Normal value
PRT,Portugal,Expenditure for educational institutions,Percentage of GDP,2005,4.842438,A,Normal value
PRT,Portugal,Expenditure for educational institutions,Percentage of GDP,2008,4.556955,A,Normal value
PRT,Portugal,Expenditure for educational institutions,Percentage of GDP,2009,5.133646,A,Normal value
PRT,Portugal,Expenditure for educational institutions,Percentage of GDP,2010,5.137511,A,Normal value
PRT,Portugal,Expenditure for educational institutions,Percentage of GDP,2011,4.892176,A,Normal value
PRT,Portugal,Expenditure for educational institutions,Percentage of GDP,2016,5.038134,A,Normal value
PRT,Portugal,Expenditure for educational institutions,Percentage of GDP,2017,5.165367,A,Normal value
PRT,Portugal,Expenditure for educational institutions,Percentage of GDP,2018,4.960271,A,Normal value
PRT,Portugal,Expenditure for educational institutions,Percentage of GDP,2019,4.837448,A,Normal value
PRT,Portugal,Expenditure for educational institutions,Percentage of GDP,2020,5.1044049,A,Normal value
LTU,Lithuania,Expenditure for educational institutions,Percentage of GDP,2010,4.990356,A,Normal value
LTU,Lithuania,Expenditure for educational institutions,Percentage of GDP,2011,4.805597,A,Normal value
LTU,Lithuania,Expenditure for educational institutions,Percentage of GDP,2012,4.519285,A,Normal value
LTU,Lithuania,Expenditure for educational institutions,Percentage of GDP,2013,4.378048,A,Normal value
LTU,Lithuania,Expenditure for educational institutions,Percentage of GDP,2014,4.238047,A,Normal value
LTU,Lithuania,Expenditure for educational institutions,Percentage of GDP,2015,3.949108,A,Normal value
LTU,Lithuania,Expenditure for educational institutions,Percentage of GDP,2016,3.614014,A,Normal value
LTU,Lithuania,Expenditure for educational institutions,Percentage of GDP,2017,3.412879,A,Normal value
CRI,Costa Rica,Expenditure for educational institutions,Percentage of GDP,2013,7.816369,A,Normal value
DNK,Denmark,Expenditure for educational institutions,Percentage of GDP,1995,5.509017,A,Normal value
DNK,Denmark,Expenditure for educational institutions,Percentage of GDP,2000,5.526292,A,Normal value
DNK,Denmark,Expenditure for educational institutions,Percentage of GDP,2005,6.014377,A,Normal value
DNK,Denmark,Expenditure for educational institutions,Percentage of GDP,2008,5.75591,A,Normal value
DNK,Denmark,Expenditure for educational institutions,Percentage of GDP,2009,6.449479,A,Normal value
DNK,Denmark,Expenditure for educational institutions,Percentage of GDP,2010,6.494217,A,Normal value
DNK,Denmark,Expenditure for educational institutions,Percentage of GDP,2011,6.100455,A,Normal value
GBR,United Kingdom,Expenditure for educational institutions,Percentage of GDP,2014,6.643432,A,Normal value
GBR,United Kingdom,Expenditure for educational institutions,Percentage of GDP,2015,6.328501,A,Normal value
GBR,United Kingdom,Expenditure for educational institutions,Percentage of GDP,2016,6.232353,A,Normal value
GBR,United Kingdom,Expenditure for educational institutions,Percentage of GDP,2017,6.243533,A,Normal value
GBR,United Kingdom,Expenditure for educational institutions,Percentage of GDP,2018,6.096055,A,Normal value
GBR,United Kingdom,Expenditure for educational institutions,Percentage of GDP,2019,6.083517,A,Normal value
GBR,United Kingdom,Expenditure for educational institutions,Percentage of GDP,2020,6.311326,A,Normal value
ESP,Spain,Expenditure for educational institutions,Percentage of GDP,1995,4.708447,A,Normal value
ESP,Spain,Expenditure for educational institutions,Percentage of GDP,2000,4.201569,A,Normal value
ESP,Spain,Expenditure for educational institutions,Percentage of GDP,2005,3.937311,A,Normal value
ESP,Spain,Expenditure for educational institutions,Percentage of GDP,2008,4.203078,A,Normal value
ESP,Spain,Expenditure for educational institutions,Percentage of GDP,2009,4.542217,A,Normal value
ESP,Spain,Expenditure for educational institutions,Percentage of GDP,2010,4.548646,A,Normal value
ESP,Spain,Expenditure for educational institutions,Percentage of GDP,2011,4.478122,A,Normal value
ESP,Spain,Expenditure for educational institutions,Percentage of GDP,2012,4.392659,A,Normal value
ESP,Spain,Expenditure for educational institutions,Percentage of GDP,2013,4.359438,A,Normal value
ESP,Spain,Expenditure for educational institutions,Percentage of GDP,2014,4.293882,A,Normal value
ESP,Spain,Expenditure for educational institutions,Percentage of GDP,2015,4.361032,A,Normal value
ESP,Spain,Expenditure for educational institutions,Percentage of GDP,2016,4.319095,A,Normal value
ESP,Spain,Expenditure for educational institutions,Percentage of GDP,2017,4.283897,A,Normal value
ESP,Spain,Expenditure for educational institutions,Percentage of GDP,2018,4.285648,A,Normal value
ESP,Spain,Expenditure for educational institutions,Percentage of GDP,2019,4.331574,A,Normal value
ESP,Spain,Expenditure for educational institutions,Percentage of GDP,2020,4.9691768,A,Normal value
MEX,Mexico,Expenditure for educational institutions,Percentage of GDP,1995,4.038184,A,Normal value
MEX,Mexico,Expenditure for educational institutions,Percentage of GDP,2000,3.996851,A,Normal value
MEX,Mexico,Expenditure for educational institutions,Percentage of GDP,2005,4.971661,A,Normal value
MEX,Mexico,Expenditure for educational institutions,Percentage of GDP,2008,4.821856,A,Normal value
MEX,Mexico,Expenditure for educational institutions,Percentage of GDP,2009,5.295397,A,Normal value
MEX,Mexico,Expenditure for educational institutions,Percentage of GDP,2010,5.243456,A,Normal value
MEX,Mexico,Expenditure for educational institutions,Percentage of GDP,2017,4.390234,A,Normal value
MEX,Mexico,Expenditure for educational institutions,Percentage of GDP,2018,4.642597,A,Normal value
MEX,Mexico,Expenditure for educational institutions,Percentage of GDP,2019,4.620654,A,Normal value
MEX,Mexico,Expenditure for educational institutions,Percentage of GDP,2020,4.483067,A,Normal value
NOR,Norway,Expenditure for educational institutions,Percentage of GDP,2018,6.619117,A,Normal value
NOR,Norway,Expenditure for educational institutions,Percentage of GDP,2019,6.562521,A,Normal value
NOR,Norway,Expenditure for educational institutions,Percentage of GDP,2020,6.7789078,A,Normal value
GRC,Greece,Expenditure for educational institutions,Percentage of GDP,1995,2.512602,A,Normal value
GRC,Greece,Expenditure for educational institutions,Percentage of GDP,2000,3.302158,A,Normal value
GRC,Greece,Expenditure for educational institutions,Percentage of GDP,2005,4.192245,A,Normal value
GRC,Greece,Expenditure for educational institutions,Percentage of GDP,2012,3.822458,A,Normal value
GRC,Greece,Expenditure for educational institutions,Percentage of GDP,2013,3.753635,A,Normal value
GRC,Greece,Expenditure for educational institutions,Percentage of GDP,2014,3.753741,A,Normal value
GRC,Greece,Expenditure for educational institutions,Percentage of GDP,2015,3.818189,A,Normal value
GRC,Greece,Expenditure for educational institutions,Percentage of GDP,2017,3.535676,A,Normal value
GRC,Greece,Expenditure for educational institutions,Percentage of GDP,2018,3.720683,A,Normal value
GRC,Greece,Expenditure for educational institutions,Percentage of GDP,2019,3.718679,A,Normal value
KOR,Korea,Expenditure for educational institutions,Percentage of GDP,2015,5.257537,A,Normal value
KOR,Korea,Expenditure for educational institutions,Percentage of GDP,2016,5.086037,A,Normal value
KOR,Korea,Expenditure for educational institutions,Percentage of GDP,2017,5.028796,A,Normal value
