REF_AREA,Reference area,Type of expenditure,Unit of measure,TIME_PERIOD,OBS_VALUE,OBS_STATUS,Observation status
KOR,Korea,Expenditure for educational institutions,Percentage of GDP,2018,5.096667,A,Normal value
KOR,Korea,Expenditure for educational institutions,Percentage of GDP,2019,5.259854,A,Normal value
KOR,Korea,Expenditure for educational institutions,Percentage of GDP,2020,5.0711451,A,Normal value
ISR,Israel,Expenditure for educational institutions,Percentage of GDP,1995,6.160288,A,Normal value
ISR,Israel,Expenditure for educational institutions,Percentage of GDP,2000,5.713255,A,Normal value
ISR,Israel,Expenditure for educational institutions,Percentage of GDP,2005,5.166277,A,Normal value
ISR,Israel,Expenditure for educational institutions,Percentage of GDP,2008,5.343975,A,Normal value
ISR,Israel,Expenditure for educational institutions,Percentage of GDP,2009,5.175461,A,Normal value
ISR,Israel,Expenditure for educational institutions,Percentage of GDP,2010,5.406414,A,Normal value
ISR,Israel,Expenditure for educational institutions,Percentage of GDP,2011,5.705229,A,Normal value
ISR,Israel,Expenditure for educational institutions,Percentage of GDP,2012,6.104669,A,Normal value
ISR,Israel,Expenditure for educational institutions,Percentage of GDP,2013,6.060885,A,Normal value
ISR,Israel,Expenditure for educational institutions,Percentage of GDP,2014,5.980706,A,Normal value
ISR,Israel,Expenditure for educational institutions,Percentage of GDP,2015,5.853116,A,Normal value
ISR,Israel,Expenditure for educational institutions,Percentage of GDP,2016,5.943537,A,Normal value
ISR,Israel,Expenditure for educational institutions,Percentage of GDP,2017,6.004071,A,Normal value
ISR,Israel,Expenditure for educational institutions,Percentage of GDP,2018,6.204876,A,Normal value
ISR,Israel,Expenditure for educational institutions,Percentage of GDP,2019,6.16255,A,Normal value
ISR,Israel,Expenditure for educational institutions,Percentage of GDP,2020,6.4153471,A,Normal value
CHE,Switzerland,Expenditure for educational institutions,Percentage of GDP,2012,4.929837,A,Normal value
AUT,Austria,Expenditure for educational institutions,Percentage of GDP,2012,4.869923,A,Normal value
AUT,Austria,Expenditure for educational institutions,Percentage of GDP,2013,4.943199,A,Normal value
AUT,Austria,Expenditure for educational institutions,Percentage of GDP,2014,4.83096,A,Normal value
AUT,Austria,Expenditure for educational institutions,Percentage of GDP,2015,4.866635,A,Normal value
AUT,Austria,Expenditure for educational institutions,Percentage of GDP,2016,4.874484,A,Normal value
AUT,Austria,Expenditure for educational institutions,Percentage of GDP,2017,4.78451,A,Normal value
AUT,Austria,Expenditure for educational institutions,Percentage of GDP,2018,4.69183,A,Normal value
AUT,Austria,Expenditure for educational institutions,Percentage of GDP,2019,4.679342,A,Normal value
AUT,Austria,Expenditure for educational institutions,Percentage of GDP,2020,4.9085889,A,Normal value
LUX,Luxembourg,Expenditure for educational institutions,Percentage of GDP,2012,3.528081,A,Normal value
LUX,Luxembourg,Expenditure for educational institutions,Percentage of GDP,2013,3.280641,A,Normal value
LUX,Luxembourg,Expenditure for educational institutions,Percentage of GDP,2014,3.413268,A,Normal value
LUX,Luxembourg,Expenditure for educational institutions,Percentage of GDP,2015,3.341386,A,Normal value
LUX,Luxembourg,Expenditure for educational institutions,Percentage of GDP,2016,3.078204,A,Normal value
LUX,Luxembourg,Expenditure for educational institutions,Percentage of GDP,2017,3.160819,A,Normal value
LUX,Luxembourg,Expenditure for educational institutions,Percentage of GDP,2018,3.143867,A,Normal value
LUX,Luxembourg,Expenditure for educational institutions,Percentage of GDP,2019,3.355452,A,Normal value
LUX,Luxembourg,Expenditure for educational institutions,Percentage of GDP,2020,3.4450259,A,Normal value
NZL,New Zealand,Expenditure for educational institutions,Percentage of GDP,2018,5.275975,A,Normal value
NZL,New Zealand,Expenditure for educational institutions,Percentage of GDP,2019,5.300462,A,Normal value
NZL,New Zealand,Expenditure for educational institutions,Percentage of GDP,2020,5.40065,A,Normal value
NZL,New Zealand,Expenditure for educational institutions,Percentage of GDP,2021,5.640374,A,Normal value
SVN,Slovenia,Expenditure for educational institutions,Percentage of GDP,2005,5.392788,A,Normal value
SVN,Slovenia,Expenditure for educational institutions,Percentage of GDP,2008,4.728799,A,Normal value
SVN,Slovenia,Expenditure for educational institutions,Percentage of GDP,2009,5.130227,A,Normal value
SVN,Slovenia,Expenditure for educational institutions,Percentage of GDP,2010,5.069009,A,Normal value
SVN,Slovenia,Expenditure for educational institutions,Percentage of GDP,2011,5.001461,A,Normal value
SVN,Slovenia,Expenditure for educational institutions,Percentage of GDP,2012,4.888978,A,Normal value
SVN,Slovenia,Expenditure for educational institutions,Percentage of GDP,2013,4.755867,A,Normal value
SVN,Slovenia,Expenditure for educational institutions,Percentage of GDP,2014,4.586857,A,Normal value
SVN,Slovenia,Expenditure for educational institutions,Percentage of GDP,2015,4.312279,A,Normal value
SVN,Slovenia,Expenditure for educational institutions,Percentage of GDP,2016,4.253747,A,Normal value
SVN,Slovenia,Expenditure for educational institutions,Percentage of GDP,2017,4.233174,A,Normal value
SVN,Slovenia,Expenditure for educational institutions,Percentage of GDP,2018,4.205119,A,Normal value
SVN,Slovenia,Expenditure for educational institutions,Percentage of GDP,2019,4.19323,A,Normal value
SVN,Slovenia,Expenditure for educational institutions,Percentage of GDP,2020,4.6206551,A,Normal value
ROU,Romania,Expenditure for educational institutions,Percentage of GDP,2012,2.32322,A,Normal value
ROU,Romania,Expenditure for educational institutions,Percentage of GDP,2013,2.392479,A,Normal value
ROU,Romania,Expenditure for educational institutions,Percentage of GDP,2014,2.475018,A,Normal value
ROU,Romania,Expenditure for educational institutions,Percentage of GDP,2015,2.593995,A,Normal value
ROU,Romania,Expenditure for educational institutions,Percentage of GDP,2016,2.29751,A,Normal value
ROU,Romania,Expenditure for educational institutions,Percentage of GDP,2017,2.319226,A,Normal value
ROU,Romania,Expenditure for educational institutions,Percentage of GDP,2018,2.409596,A,Normal value
ROU,Romania,Expenditure for educational institutions,Percentage of GDP,2019,2.735894,A,Normal value
ROU,Romania,Expenditure for educational institutions,Percentage of GDP,2020,2.725353,A,Normal value
FRA,France,Expenditure for educational institutions,Percentage of GDP,2005,5.178154,A,Normal value
HRV,Croatia,Expenditure for educational institutions,Percentage of GDP,2018,3.876173,A,Normal value
HRV,Croatia,Expenditure for educational institutions,Percentage of GDP,2019,3.802269,A,Normal value
HRV,Croatia,Expenditure for educational institutions,Percentage of GDP,2020,4.1919122,A,Normal value
POL,Poland,Expenditure for educational institutions,Percentage of GDP,1995,4.267834,A,Normal value
POL,Poland,Expenditure for educational institutions,Percentage of GDP,2000,4.336147,A,Normal value
POL,Poland,Expenditure for educational institutions,Percentage of GDP,2005,5.279063,A,Normal value
POL,Poland,Expenditure for educational institutions,Percentage of GDP,2008,5.055884,A,Normal value
POL,Poland,Expenditure for educational institutions,Percentage of GDP,2009,5.064912,A,Normal value
POL,Poland,Expenditure for educational institutions,Percentage of GDP,2010,5.101816,A,Normal value
POL,Poland,Expenditure for educational institutions,Percentage of GDP,2011,4.688876,A,Normal value
POL,Poland,Expenditure for educational institutions,Percentage of GDP,2012,4.800148,A,Normal value
POL,Poland,Expenditure for educational institutions,Percentage of GDP,2015,4.607392,A,Normal value
POL,Poland,Expenditure for educational institutions,Percentage of GDP,2016,4.381898,A,Normal value
POL,Poland,Expenditure for educational institutions,Percentage of GDP,2017,4.310126,A,Normal value
NOR,Norway,Expenditure for educational institutions,Percentage of GDP,1995,6.842446,B,Time series break
NOR,Norway,Expenditure for educational institutions,Percentage of GDP,2000,6.591385,B,Time series break
NOR,Norway,Expenditure for educational institutions,Percentage of GDP,2008,6.168434,B,Time series break
NOR,Norway,Expenditure for educational institutions,Percentage of GDP,2009,6.655784,B,Time series break
NOR,Norway,Expenditure for educational institutions,Percentage of GDP,2010,6.496565,B,Time series break
NOR,Norway,Expenditure for educational institutions,Percentage of GDP,2011,6.351223,B,Time series break
NZL,New Zealand,Expenditure for educational institutions,Percentage of GDP,2014,5.7564,B,Time series break
NZL,New Zealand,Expenditure for educational institutions,Percentage of GDP,2015,5.775492,B,Time series break
FRA,France,Expenditure for educational institutions,Percentage of GDP,2011,5.263641,A,Normal value
FRA,France,Expenditure for educational institutions,Percentage of GDP,2012,5.228973,A,Normal value
FRA,France,Expenditure for educational institutions,Percentage of GDP,2013,5.249682,A,Normal value
FRA,France,Expenditure for educational institutions,Percentage of GDP,2014,5.255728,A,Normal value
FRA,France,Expenditure for educational institutions,Percentage of GDP,2015,5.197982,A,Normal value
FRA,France,Expenditure for educational institutions,Percentage of GDP,2016,5.163726,A,Normal value
FRA,France,Expenditure for educational institutions,Percentage of GDP,2017,5.195138,A,Normal value
FRA,France,Expenditure for educational institutions,Percentage of GDP,2018,5.173745,A,Normal value
FRA,France,Expenditure for educational institutions,Percentage of GDP,2019,5.160875,A,Normal value
FRA,France,Expenditure for educational institutions,Percentage of GDP,2020,5.4716158,A,Normal value
BGR,Bulgaria,Expenditure for educational institutions,Percentage of GDP,2012,2.733593,A,Normal value
BGR,Bulgaria,Expenditure for educational institutions,Percentage of GDP,2013,2.970052,A,Normal value
BGR,Bulgaria,Expenditure for educational institutions,Percentage of GDP,2014,3.177936,A,Normal value
BGR,Bulgaria,Expenditure for educational institutions,Percentage of GDP,2015,2.986832,A,Normal value
BGR,Bulgaria,Expenditure for educational institutions,Percentage of GDP,2016,2.918627,A,Normal value
BGR,Bulgaria,Expenditure for educational institutions,Percentage of GDP,2017,3.07421,A,Normal value
BGR,Bulgaria,Expenditure for educational institutions,Percentage of GDP,2018,3.106455,A,Normal value
BGR,Bulgaria,Expenditure for educational institutions,Percentage of GDP,2019,3.264863,A,Normal value
BGR,Bulgaria,Expenditure for educational institutions,Percentage of GDP,2020,3.55039,A,Normal value
IRL,Ireland,Expenditure for educational institutions,Percentage of GDP,2015,3.597825,A,Normal value
IRL,Ireland,Expenditure for educational institutions,Percentage of GDP,2016,3.597589,A,Normal value
IRL,Ireland,Expenditure for educational institutions,Percentage of GDP,2017,3.413389,A,Normal value
IRL,Ireland,Expenditure for educational institutions,Percentage of GDP,2018,3.290518,A,Normal value
IRL,Ireland,Expenditure for educational institutions,Percentage of GDP,2019,3.169438,A,Normal value
IRL,Ireland,Expenditure for educational institutions,Percentage of GDP,2020,3.227155,A,Normal value
EST,Estonia,Expenditure for educational institutions,Percentage of GDP,2005,4.550279,A,Normal value
EST,Estonia,Expenditure for educational institutions,Percentage of GDP,2008,5.036225,A,Normal value
EST,Estonia,Expenditure for educational institutions,Percentage of GDP,2009,5.214017,A,Normal value
EST,Estonia,Expenditure for educational institutions,Percentage of GDP,2010,5.373553,A,Normal value
EST,Estonia,Expenditure for educational institutions,Percentage of GDP,2011,4.943146,A,Normal value
EST,Estonia,Expenditure for educational institutions,Percentage of GDP,2012,4.778817,A,Normal value
EST,Estonia,Expenditure for educational institutions,Percentage of GDP,2013,5.200181,A,Normal value
EST,Estonia,Expenditure for educational institutions,Percentage of GDP,2014,4.572599,A,Normal value
EST,Estonia,Expenditure for educational institutions,Percentage of GDP,2015,4.668276,A,Normal value
EST,Estonia,Expenditure for educational institutions,Percentage of GDP,2016,4.433796,A,Normal value
EST,Estonia,Expenditure for educational institutions,Percentage of GDP,2017,4.368217,A,Normal value
EST,Estonia,Expenditure for educational institutions,Percentage of GDP,2018,4.692348,A,Normal value
EST,Estonia,Expenditure for educational institutions,Percentage of GDP,2019,4.663691,A,Normal value
EST,Estonia,Expenditure for educational institutions,Percentage of GDP,2020,4.7856178,A,Normal value
OECD,OECD,Expenditure for educational institutions,Percentage of GDP,2000,4.759291,A,Normal value
OECD,OECD,Expenditure for educational institutions,Percentage of GDP,2005,5.008537,A,Normal value
OECD,OECD,Expenditure for educational institutions,Percentage of GDP,2008,5.109666,A,Normal value
OECD,OECD,Expenditure for educational institutions,Percentage of GDP,2009,5.487715,A,Normal value
OECD,OECD,Expenditure for educational institutions,Percentage of GDP,2010,5.34982,A,Normal value
OECD,OECD,Expenditure for educational institutions,Percentage of GDP,2011,5.218592,A,Normal value
OECD,OECD,Expenditure for educational institutions,Percentage of GDP,2012,5.092951,A,Normal value
OECD,OECD,Expenditure for educational institutions,Percentage of GDP,2013,5.206056,A,Normal value
OECD,OECD,Expenditure for educational institutions,Percentage of GDP,2014,5.060053,A,Normal value
OECD,OECD,Expenditure for educational institutions,Percentage of GDP,2015,4.9411,A,Normal value
OECD,OECD,Expenditure for educational institutions,Percentage of GDP,2016,4.966791,A,Normal value
OECD,OECD,Expenditure for educational institutions,Percentage of GDP,2017,4.860365,A,Normal value
OECD,OECD,Expenditure for educational institutions,Percentage of GDP,2018,4.895148,A,Normal value
OECD,OECD,Expenditure for educational institutions,Percentage of GDP,2019,4.910809,A,Normal value
OECD,OECD,Expenditure for educational institutions,Percentage of GDP,2020,5.142028,A,Normal value
AUS,Australia,Expenditure for educational institutions,Percentage of GDP,2018,5.922423,A,Normal value
AUS,Australia,Expenditure for educational institutions,Percentage of GDP,2019,6.073002,A,Normal value
AUS,Australia,Expenditure for educational institutions,Percentage of GDP,2020,6.2250519,A,Normal value
HUN,Hungary,Expenditure for educational institutions,Percentage of GDP,1995,4.182416,A,Normal value
HUN,Hungary,Expenditure for educational institutions,Percentage of GDP,2000,4.066458,A,Normal value
HUN,Hungary,Expenditure for educational institutions,Percentage of GDP,2012,3.79605,A,Normal value
HUN,Hungary,Expenditure for educational institutions,Percentage of GDP,2013,3.762523,A,Normal value
HUN,Hungary,Expenditure for educational institutions,Percentage of GDP,2014,3.734705,A,Normal value
HUN,Hungary,Expenditure for educational institutions,Percentage of GDP,2015,3.694775,A,Normal value
HUN,Hungary,Expenditure for educational institutions,Percentage of GDP,2016,4.216697,A,Normal value
HUN,Hungary,Expenditure for educational institutions,Percentage of GDP,2017,3.901117,A,Normal value
HUN,Hungary,Expenditure for educational institutions,Percentage of GDP,2018,3.835103,A,Normal value
HUN,Hungary,Expenditure for educational institutions,Percentage of GDP,2019,3.800243,A,Normal value
HUN,Hungary,Expenditure for educational institutions,Percentage of GDP,2020,3.663662,A,Normal value
LVA,Latvia,Expenditure for educational institutions,Percentage of GDP,1995,1.983933,A,Normal value
LVA,Latvia,Expenditure for educational institutions,Percentage of GDP,2000,2.336757,A,Normal value
LVA,Latvia,Expenditure for educational institutions,Percentage of GDP,2005,4.678238,A,Normal value
LVA,Latvia,Expenditure for educational institutions,Percentage of GDP,2008,5.025323,A,Normal value
LVA,Latvia,Expenditure for educational institutions,Percentage of GDP,2009,5.010019,A,Normal value
LVA,Latvia,Expenditure for educational institutions,Percentage of GDP,2010,4.703799,A,Normal value
LVA,Latvia,Expenditure for educational institutions,Percentage of GDP,2011,4.657596,A,Normal value
LVA,Latvia,Expenditure for educational institutions,Percentage of GDP,2012,4.209529,A,Normal value
LVA,Latvia,Expenditure for educational institutions,Percentage of GDP,2013,4.516569,A,Normal value
LVA,Latvia,Expenditure for educational institutions,Percentage of GDP,2014,4.713886,A,Normal value
LVA,Latvia,Expenditure for educational institutions,Percentage of GDP,2015,4.802145,A,Normal value
LVA,Latvia,Expenditure for educational institutions,Percentage of GDP,2016,4.127967,A,Normal value
LVA,Latvia,Expenditure for educational institutions,Percentage of GDP,2017,3.978308,A,Normal value
LVA,Latvia,Expenditure for educational institutions,Percentage of GDP,2018,4.06206,A,Normal value
LVA,Latvia,Expenditure for educational institutions,Percentage of GDP,2019,4.246483,A,Normal value
LVA,Latvia,Expenditure for educational institutions,Percentage of GDP,2020,4.343967,A,Normal value
ITA,Italy,Expenditure for educational institutions,Percentage of GDP,1995,4.068015,A,Normal value
ITA,Italy,Expenditure for educational institutions,Percentage of GDP,2000,3.855684,A,Normal value
ITA,Italy,Expenditure for educational institutions,Percentage of GDP,2005,3.842479,A,Normal value
ITA,Italy,Expenditure for educational institutions,Percentage of GDP,2008,3.977042,A,Normal value
ITA,Italy,Expenditure for educational institutions,Percentage of GDP,2009,4.060861,A,Normal value
ITA,Italy,Expenditure for educational institutions,Percentage of GDP,2010,3.898553,A,Normal value
ITA,Italy,Expenditure for educational institutions,Percentage of GDP,2011,3.764456,A,Normal value
ITA,Italy,Expenditure for educational institutions,Percentage of GDP,2012,3.894326,A,Normal value
ITA,Italy,Expenditure for educational institutions,Percentage of GDP,2013,3.982224,A,Normal value
ITA,Italy,Expenditure for educational institutions,Percentage of GDP,2014,3.956398,A,Normal value
ITA,Italy,Expenditure for educational institutions,Percentage of GDP,2015,3.92552,A,Normal value
ITA,Italy,Expenditure for educational institutions,Percentage of GDP,2016,3.620417,A,Normal value
ITA,Italy,Expenditure for educational institutions,Percentage of GDP,2017,3.851269,A,Normal value
ITA,Italy,Expenditure for educational institutions,Percentage of GDP,2018,4.09681,A,Normal value
ITA,Italy,Expenditure for educational institutions,Percentage of GDP,2019,3.84957,A,Normal value
ITA,Italy,Expenditure for educational institutions,Percentage of GDP,2020,4.1856298,A,Normal value
LTU,Lithuania,Expenditure for educational institutions,Percentage of GDP,2018,3.409033,A,Normal value
LTU,Lithuania,Expenditure for educational institutions,Percentage of GDP,2019,3.466137,A,Normal value
LTU,Lithuania,Expenditure for educational institutions,Percentage of GDP,2020,3.897131,A,Normal value
SVK,Slovak Republic,Expenditure for educational institutions,Percentage of GDP,1995,3.719838,A,Normal value
SVK,Slovak Republic,Expenditure for educational institutions,Percentage of GDP,2000,3.402998,A,Normal value
SVK,Slovak Republic,Expenditure for educational institutions,Percentage of GDP,2005,3.697895,A,Normal value
SVK,Slovak Republic,Expenditure for educational institutions,Percentage of GDP,2008,3.417772,A,Normal value
SVK,Slovak Republic,Expenditure for educational institutions,Percentage of GDP,2009,3.94093,A,Normal value
SVK,Slovak Republic,Expenditure for educational institutions,Percentage of GDP,2010,3.835566,A,Normal value
SVK,Slovak Republic,Expenditure for educational institutions,Percentage of GDP,2011,3.629349,A,Normal value
SVK,Slovak Republic,Expenditure for educational institutions,Percentage of GDP,2012,3.639851,A,Normal value
SVK,Slovak Republic,Expenditure for educational institutions,Percentage of GDP,2013,3.776534,A,Normal value
SVK,Slovak Republic,Expenditure for educational institutions,Percentage of GDP,2014,3.839083,A,Normal value
SVK,Slovak Republic,Expenditure for educational institutions,Percentage of GDP,2015,4.369291,A,Normal value
SVK,Slovak Republic,Expenditure for educational institutions,Percentage of GDP,2016,3.693645,A,Normal value
SVK,Slovak Republic,Expenditure for educational institutions,Percentage of GDP,2017,3.640382,A,Normal value
SVK,Slovak Republic,Expenditure for educational institutions,Percentage of GDP,2018,3.672961,A,Normal value
SVK,Slovak Republic,Expenditure for educational institutions,Percentage of GDP,2019,3.904193,A,Normal value
SVK,Slovak Republic,Expenditure for educational institutions,Percentage of GDP,2020,4.3390441,A,Normal value
GBR,United Kingdom,Expenditure for educational institutions,Percentage of GDP,2012,6.168119,A,Normal value
GBR,United Kingdom,Expenditure for educational institutions,Percentage of GDP,2013,6.627339,A,Normal value
CAN,Canada,Expenditure for educational institutions,Percentage of GDP,1995,,O,Missing value
USA,United States,Expenditure for educational institutions,Percentage of GDP,1995,,O,Missing value
CRI,Costa Rica,Expenditure for educational institutions,Percentage of GDP,2010,,O,Missing value
CRI,Costa Rica,Expenditure for educational institutions,Percentage of GDP,2011,,O,Missing value
CRI,Costa Rica,Expenditure for educational institutions,Percentage of GDP,2012,,O,Missing value
CRI,Costa Rica,Expenditure for educational institutions,Percentage of GDP,2014,,O,Missing value
CRI,Costa Rica,Expenditure for educational institutions,Percentage of GDP,2015,,O,Missing value
CRI,Costa Rica,Expenditure for educational institutions,Percentage of GDP,2016,,O,Missing value
CRI,Costa Rica,Expenditure for educational institutions,Percentage of GDP,2017,,O,Missing value
CRI,Costa Rica,Expenditure for educational institutions,Percentage of GDP,2018,,O,Missing value
CRI,Costa Rica,Expenditure for educational institutions,Percentage of GDP,2019,,O,Missing value
CRI,Costa Rica,Expenditure for educational institutions,Percentage of GDP,2020,,O,Missing value
CRI,Costa Rica,Expenditure for educational institutions,Percentage of GDP,2021,,O,Missing value
DNK,Denmark,Expenditure for educational institutions,Percentage of GDP,2012,,O,Missing value
DNK,Denmark,Expenditure for educational institutions,Percentage of GDP,2015,,O,Missing value
TUR,Türkiye,Expenditure for educational institutions,Percentage of GDP,1995,,O,Missing value
TUR,Türkiye,Expenditure for educational institutions,Percentage of GDP,2000,,O,Missing value
TUR,Türkiye,Expenditure for educational institutions,Percentage of GDP,2005,,O,Missing value
TUR,Türkiye,Expenditure for educational institutions,Percentage of GDP,2008,,O,Missing value
TUR,Türkiye,Expenditure for educational institutions,Percentage of GDP,2009,,O,Missing value
TUR,Türkiye,Expenditure for educational institutions,Percentage of GDP,2010,,O,Missing value
DEU,Germany,Expenditure for educational institutions,Percentage of GDP,1995,,O,Missing value
DEU,Germany,Expenditure for educational institutions,Percentage of GDP,2000,,O,Missing value
DEU,Germany,Expenditure for educational institutions,Percentage of GDP,2009,,O,Missing value
COL,Colombia,Expenditure for educational institutions,Percentage of GDP,1995,,O,Missing value
COL,Colombia,Expenditure for educational institutions,Percentage of GDP,2000,,O,Missing value
COL,Colombia,Expenditure for educational institutions,Percentage of GDP,2005,,O,Missing value
COL,Colombia,Expenditure for educational institutions,Percentage of GDP,2008,,O,Missing value
COL,Colombia,Expenditure for educational institutions,Percentage of GDP,2010,,O,Missing value
HRV,Croatia,Expenditure for educational institutions,Percentage of GDP,1995,,O,Missing value
HRV,Croatia,Expenditure for educational institutions,Percentage of GDP,2000,,O,Missing value
HRV,Croatia,Expenditure for educational institutions,Percentage of GDP,2005,,O,Missing value
HRV,Croatia,Expenditure for educational institutions,Percentage of GDP,2008,,O,Missing value
HRV,Croatia,Expenditure for educational institutions,Percentage of GDP,2009,,O,Missing value
HRV,Croatia,Expenditure for educational institutions,Percentage of GDP,2010,,O,Missing value
HRV,Croatia,Expenditure for educational institutions,Percentage of GDP,2011,,O,Missing value
ARG,Argentina,Expenditure for educational institutions,Percentage of GDP,2014,,O,Missing value
ARG,Argentina,Expenditure for educational institutions,Percentage of GDP,2015,,O,Missing value
ARG,Argentina,Expenditure for educational institutions,Percentage of GDP,2016,,O,Missing value
ARG,Argentina,Expenditure for educational institutions,Percentage of GDP,2018,,O,Missing value
ARG,Argentina,Expenditure for educational institutions,Percentage of GDP,2019,,O,Missing value
ARG,Argentina,Expenditure for educational institutions,Percentage of GDP,2020,,O,Missing value
JPN,Japan,Expenditure for educational institutions,Percentage of GDP,1995,,O,Missing value
JPN,Japan,Expenditure for educational institutions,Percentage of GDP,2000,,O,Missing value
JPN,Japan,Expenditure for educational institutions,Percentage of GDP,2008,,O,Missing value
JPN,Japan,Expenditure for educational institutions,Percentage of GDP,2009,,O,Missing value
CRI,Costa Rica,Expenditure for educational institutions,Percentage of GDP,1995,,O,Missing value
CRI,Costa Rica,Expenditure for educational institutions,Percentage of GDP,2000,,O,Missing value
CRI,Costa Rica,Expenditure for educational institutions,Percentage of GDP,2005,,O,Missing value
CRI,Costa Rica,Expenditure for educational institutions,Percentage of GDP,2008,,O,Missing value
CRI,Costa Rica,Expenditure for educational institutions,Percentage of GDP,2009,,O,Missing value
BEL,Belgium,Expenditure for educational institutions,Percentage of GDP,1995,,O,Missing value
BEL,Belgium,Expenditure for educational institutions,Percentage of GDP,2000,,O,Missing value
ARG,Argentina,Expenditure for educational institutions,Percentage of GDP,1995,,O,Missing value
ARG,Argentina,Expenditure for educational institutions,Percentage of GDP,2005,,O,Missing value
ARG,Argentina,Expenditure for educational institutions,Percentage of GDP,2012,,O,Missing value
ARG,Argentina,Expenditure for educational institutions,Percentage of GDP,2013,,O,Missing value
EST,Estonia,Expenditure for educational institutions,Percentage of GDP,1995,,O,Missing value
EST,Estonia,Expenditure for educational institutions,Percentage of GDP,2000,,O,Missing value
OECD,OECD,Expenditure for educational institutions,Percentage of GDP,1995,,O,Missing value
POL,Poland,Expenditure for educational institutions,Percentage of GDP,2013,4.827161,W,Includes data from another category
POL,Poland,Expenditure for educational institutions,Percentage of GDP,2014,4.74991,W,Includes data from another category
ISL,Iceland,Expenditure for educational institutions,Percentage of GDP,2019,5.748931,W,Includes data from another category
CHL,Chile,Expenditure for educational institutions,Percentage of GDP,2016,6.327083,W,Includes data from another category
CHL,Chile,Expenditure for educational institutions,Percentage of GDP,2017,6.551417,W,Includes data from another category
CHL,Chile,Expenditure for educational institutions,Percentage of GDP,2018,6.635667,W,Includes data from another category
CHL,Chile,Expenditure for educational institutions,Percentage of GDP,2019,6.565544,W,Includes data from another category
PRT,Portugal,Expenditure for educational institutions,Percentage of GDP,2012,5.853413,W,Includes data from another category
PRT,Portugal,Expenditure for educational institutions,Percentage of GDP,2013,6.107762,W,Includes data from another category
PRT,Portugal,Expenditure for educational institutions,Percentage of GDP,2014,5.820276,W,Includes data from another category
PRT,Portugal,Expenditure for educational institutions,Percentage of GDP,2015,5.230794,W,Includes data from another category
